AABB;ABBA,BABA
OOTW;WOOT
OOTY;TOYO
OOTZ;ZOOT
OOUZ;OUZO
OOYZ;OOZY
OPPR;PROP
OPPS;POPS
OPQU;QUOP
OPRS;PROS
OPRT;PORT,TROP
OPRU;POUR,ROUP
OPRW;PROW
OPRY;PORY,PYRO,ROPY,YORP
OPSS;POSS,SOPS
OPST;OPTS,POST,POTS,SPOT,STOP,TOPS
OPSU;OPUS,OUPS,SOUP
OPSW;POWS,SOWP,SWOP,WOPS
OPSY;POSY
OPTT;POTT
OPTU;POUT
OPTY;PYOT,TYPO
OPXY;POXY
OPZZ;POZZ
ORRT;RORT,TORR
ORRY;RORY
ORST;ORTS,ROST,ROTS,SORT,TORS
ORSU;OURS,SOUR
ORSV;VORS
ORSW;ROWS
ORSY;ROSY
ORTT;TORT,TROT
ORTU;ROUT,TOUR,TROU
ORTV;VROT
ORTW;ROWT,TROW,WORT
ORTY;RYOT,TORY,TROY,TYRO
ORUV;VROU
ORUX;ROUX
ORUY;YOUR
ORVW;VROW
ORXY;ORYX
OSSS;SOSS
OSST;SOTS,TOSS
OSSU;SOUS
OSSV;SOVS
OSSW;SOWS
OSSY;SOYS
OSTT;STOT,TOST,TOTS
OSTU;OUST,OUTS,SOUT
OSTW;OWTS,STOW,SWOT,TOWS,TWOS,WOST,WOTS
OSTY;TOYS
OSUY;YOUS
OSVW;VOWS
OSWW;WOWS
OSWY;YOWS
OTTU;TOUT
OTTW;TOWT
OTWY;TOWY
PPSU;PUPS
PPTY;TYPP
PPUU;PUPU
PRRU;PURR,RURP
PRSU;PURS,SPUR,URPS
PRSY;PRYS,SPRY
PRTY;TRYP
PSST;PSST
PSSU;PUSS,SUPS
PSTU;PUTS,TUPS
PSUY;PUYS,UPSY,YUPS
PTTU;PUTT
PTUZ;PUTZ
PTYY;TYPY
QSSU;SUQS
RRTU;TURR
RRUU;RURU
RSTU;RUST,RUTS
RSUU;URUS
RSUY;RYUS
RTUY;YURT
SSSU;SUSS
SSUU;SUSU
SSUW;WUSS
STTU;TUTS
STUU;UTUS
STXY;XYST
SZZZ;ZZZS
TTUU;TUTU
TUYZ;YUTZ
TUZZ;TUZZ
UUYZ;YUZU
