AAAARR;CC,CJ,JK,PP
EENRST;FM
EENRSU;AG,AH,AI,AM,AV,BG,EG,EV,GI,GK,GO,GY,HM,HP,IN,IP,IQ,IV,IX,MO,MP,NO,NV,OP
EENRSV;AB,AH,AL,AM,AU,CO,LU,MO,NU,OW
EENRSW;CH,DO,EL,ER,HO,OV
EENRSY;AD,AR,EL,HM
EENRTT;BU,CO,DE,EF,FU,HU,OP,OR
EENRTU;AC,AG,AH,AN,AR,CL,ER,FL,FO,FQ,FT,HO,HT,JK,LN,OO,OP,PX,RR
EENRTV;GI,II,IM,IN,IR
EENRTX;AL,AT,DI,GI,IO,IP,IR,PU
EENRTZ;EI
EENRVV;
EENRVY;AM,CF,CG,CO,EM,EO
EENSSS;AB,AC,AF,AG,AM,AN,AR,BU,CE,CU,DE,DO,EH,HN,KW,NU,OR,RU
EENSST;BE,BO,BU,CE,CU,EM,EP,EX,GM,GU,MU,OP,PY,QU
EENSSU;BS,BT,CP,CS,CT,HM,HT,IT,KT,MT,PS,QT
EENSSV;EN
EENSSW;DK,DL,EP,EY,KS,LL,LS
EENSSY;EH,EW,GR,IT,LT,PT,RT
EENSTT;CU,EG,EN,FO,KN,MV,NO,OP,OT,PU
EENSTU;AA,AM,CC,CS,CT,MS
EENSTV;AG,AT,DU,MT
EENSTW;AB,AH,AM,GI,IN,IT,IZ
EENSTY;AD,BO,CD,EO,KO
EENSUV;ER,IR,NR,OT,RR,RT
EENSVW;AI,AU,OR
EENSVY;
EENSWY;IK
EENSYZ;
EENTTX;AR
EENTTY;AP,AR,IR
EENTUX;EI,GI,PR
EENTWY;
EEOOTT;BR,HY,MR
EEOPPS;CI,DT,HI,HW,IT,KO,NT,TT,TU
EEOPRS;AT,CH,CI,CM,CU,FT,GI,GT,GU,HU,IM,IT,MV,MW,TT,TU,TV,TY
EEOPSS;AG,NN
EEOPST;AD,AR,AZ,DP,DR,FR,GR,LP,OR,PT,RR,RT,RV
EEOPSX;AL,BG,MO
EEOPSY;DR,EP,LM,LN
EEOPTU;
EEOPTY;GH,RV
EEORRS;EF,EX,FF,FG,FU,GG,HW
EEORRT;AP,BO,DH,DP,DT,FH,FO,FY,HX,IL,IN,IP,IX,NT,PR,PT,PX,RT,TT,TX
EEORRW;AS,AV,DD,DK,DM,DN,DV,FH,FL,GV,HS,IL,NN,OV
EEORRZ;DE
EEORSS;BD,BM,BU,BV,CF,CR,EF,EV,EY,GS,MR,RV,UV,VW
EEORST;BU,BW,CC,CG,CO,CW,FG,FP,GP,GU,OP,PU,QU
EEORSV;GG,GO,HO
EEORSZ;BI,HI,IM,IT,IV,LL
EEORTV;EM,IM,KP,OV,PY
EEORUV;CR,GR,IR,LR
EEORVW;BL,DI,DL,DR,FL,GR,IV,IW,OR
EEOSST;CD,CS,DN,FT,NS,NV,OS,TT
EEOSSY;CK,ER,HT,KL,PT
EEOSTU;AF,AH,BR,CL,DG,DW,DX,FL,FT,GR,LR,LV,MR,QR,RR,RT,RV
EEOSTV;AC,AL,CI,CL,FL,LS,LU
EEOSXY;
EEOSYZ;
EEPPPR;AU,BE,ER
EEPPST;LO,NO,OT
EEPRRS;BV,CE,CH,EN,EV,GG,GP
EEPRRT;CE,CO,DO,EH,EN,EW,IO,IP,IT,IW,OR,OT,OW,OX,TU
EEPRRU;AB,AP,AT,FM,QU,TT
EEPRRY;AB,AL
EEPRSS;BL,KY,LL
EEPRST;FO,GO,OO,OV
EEPRSU;CH,CI,CO,CP,HN,HO,IN,IQ,NO,OX
EEPRSV;BR,LO,MO,NT,OR,OT,RT,RY
EEPRSW;AD,DU,MO,OR
EEPRSX;EL,GU,LU
EEPRSZ;IM,IR,IZ,LT
EEPRTT;AC,AD,AK,AR,DU,RU
EEPRTU;IN,IV,NX,RT
EEPRTW;DO,ER,IR,OR
EEPRTX;DE,DI,DO,IN,LY,NU,OR
EEPRTY;BC,CO,OV
EEPRUV;AH,AL,AN,BL,IT
EEPSSS;LT
EEPSST;CH,CI,DI,EI,EN,HI,IK,IM,IN,IW,MY,NY
EEPSSU;AC,AN,CN,DP,IL,LP,LX,NS,PW
EEPSSW;EN,IT,OT,PU
EEPSSY;CR,EM,HL,IM,KR,MT,NT,OT,TT
EEPSTT;ET,NO,OP
EEPSTW;OS,OU,TU
EEPSTY;MS
EEPSWY;AD
EEPTTU;DJ,DR,KN,NZ,RR
EEQRSU;CG,CH,ER,EZ,GG,LL,LP,MO
EEQRUU;PR
EEQSTU;
EEQSUU;AB,BM,DE,EN,NN
EEQUXY;
EERRSS;BK,CO,CU,CW,EN,FH,FU,MO,MU,NU
EERRST;HH,KK
EERRSV;
EERRTT;BI,DO,EL,IL,IM,IP,IT,NO,OP,OR,OT,OX
EERRTU;AC,AH,AL,AN,AP,BD,CI,CL,CZ,DN,DX,EN,IN,IQ,KZ,LM,NR,NV
EERRTV;DE,EN,ER,NU
EERRUV;AQ,EQ,GO,IO,IQ,LO,OT
EERRVY;AO,CO,DO,FI
EERSST;HH,QU,UU
EERSSU;EV,EW,JV,OV,QT,RT,TT,TU,TV
EERSSV;BL,BO,BU,CE,DE,EL,EO,EU,HL,JU,LO,OU
EERSSW;AA,AL,AR,BI,CL,CR,DG,EU,IL,IR,LL
EERSSX;AN,HI
EERSTT;
EERSTU;BC,BM,BO,CL,CS,DD,DL,DM,DS,DX,LO,LS,MO,SS,SU
EERSTV;AH,CH
EERSTW;CO,OV
EERSTX;CE,CI,EM,EV
EERSTY;AI,AM,FI,IV,MM,RV
EERSTZ;AP,EW
EERSUV;BS,CD,DN,DY,IN,JS,NN
EERSVV;AO
EERSVW;
EERSVX;CI,ET,IN,OT
EERSVY;AL,AO,DO,DU,EL,EO,IL,IT
EERSZZ;IP
EERTTT;AB,AD,AZ,DE,DI,DO,IR,IZ,OR,OZ
EERTTV;AN,CE,CO,DE,DI,IV
EERTTW;AJ,DI
EERTTX;DO,OR
EERTUV;CD,IP
EERTUY;CX,FL,IQ
EERTVV;EL,OO
EERTVX;EI,ES,OS
EERTWY;AE,AM
EESSSS;AD,AR,AS,BO,IP,RT,RU
EESSSY;RU
EESSTT;FI,FO,IV,IW
EESSTU;CN,CR,CS,DG,DR,GN,GR,HN,HY,IN,IR,KN,NR,PR,RR,RS,RU,RV
EESSTW;EL,ET,HH,HL,LL,OP
EESTTU;AB,BL,BV,BW,CH,CL,CN,CV,DD,DE,DN,FO,GH,IQ,LN
EESTTW;AH,BU,PU
EESTTX;AC,IL,LO
EESTTZ;AG,CI
EESTWY;HI
EETTZZ;MO
EFFFOS;AC,EE,EN,ER,IN,OR
EFFGIN;AC,CH,FO
EFFGIR;ER,LU,RU
EFFGIU;LR,RR
EFFGIY;
EFFGOR;DE,IN
EFFHRU;
EFFIIR;BC,CL,HW,PS
EFFILP;
EFFILR;AW,CI,FU,GU,HW,KU,OT
EFFILS;HI,HW,MT
EFFIMO;
EFFINR;DE
EFFINT;DI
EFFIOS;FN,NU,PR,RX
EFFIRS;AA,AC,AP,AX,CO,CU,IP,OP,OX,QU
EFFKOY;
EFFLMU;BE,NU
EFFLOP;
EFFLRU;CO,GI,IK,IP,NU
EFFLUX;AS,ES
EFFOPU;IR
EFFORS;AK,EE,EF,ER,EX,FO,HO,IP,IX,OR,PR
EFFORT;AD,AN,EE,EL,OO
EFFORX;ES
EFFOST;AB,AG,AK
EFFPRU;
EFFRSU;AG,AM,AQ,ER,IQ,RU
EFFRTU;AT,BE
EFFSTU;AL,FI,HI,IP
EFFTTU;AR
EFGGOR;RY
EFGILN;CH,CK,DG,DI,GG
EFGINN;GI,IT,IX
EFGINR;BI,HT,IR,IX,IY,IZ,RY,TT,TY
EFGINS;DU,II,IM,MT
EFGINT;DU,IN,RU,RY
EFGINU;AG,AT,FS,PY
EFGINY;AR,IR,PU,RR,RT
EFGIOS;AL,CT,DR,GL,GT,HY,MY,OT,RV
EFGIRS;AE,AI,ER,GR,OV
EFGIRT;GU,NT,NU,NY
EFGIRU;MU
EFGISU;AT,DN,DT,GT,IL,LT
EFGLLU;IK,IN,IU
EFGLNU;AM,CY,DE,EM,EV
EFGLOR;AO,AP,AW,IK,IM,IN
EFGLOS;AI,AT,AW,GI
EFGLSU;AC,AE,AP,AT,EF,II,IT,RU,ST
EFGMNO;
EFGNOS;ST
EFGOOR;AL,AT
EFGORR;GI,IV
EFGORS;DI,EY,IV
EFGORT;
EFGORW;AL,IN
EFGOSY;ER,HI,IM
EFGRSU;FT,LU
EFGSUU;LR,NS
EFHILS;AB,AD,AN,AR,BE,BU,ER,FI,FW,GI,GN,IK,IN,KP,LY,OP,RU
EFHIRS;AK,AL,AW,BU,CL,GN,LU,OP,OV,PU
EFHISS;AM,CE,ET,EY,IN,IT,NT,TU,UW
EFHIST;ES,ET,FU,FW,IS,SU
EFHLSS;CY
EFHLSY;CS,OU
EFHMUY;
EFHNOS;BI,LR,RT,UU
EFHOOR;CK,DO,DW,FO,IO
EFHORT;AM,GU,IT
EFHRRU;
EFHSTT;AR,CI,EI,LW,RU
EFHSTW;CI,FI,LT
EFIIKR;ES,LS,NP,RS
EFIINT;AL,CE,DE,DF,DO,DU,DY,GL,GN,IN,KL,LL,LY,MY
EFIIRS;BU,CO,FN,FP,KL,KR,LL,LU,NU,NY,OS,PU,ZZ
EFIISW;BE,DM,FH
EFIIVX;AT
EFIKLO;AM,FL,HO,KL,KT,LT,LW,OT
EFIKNR;EL,IP
EFIKNS;LU,NO,TU
EFIKRS;AE,AH,CL,EI,EL,IL,LO,LU
EFIKRY;AL,CL
EFILLR;AB,AH,AW,EH,ET,EW,OV,OW,UY
EFILLS;GN,HY,NY
EFILLT;AB,AH,AN,AO,BE,DE,EK,EM,ER,HI,IN,KO,UY
EFILLY;AC,BX,CE,HS,RR,RU,ST,TU
EFILMR;BO,CU,DE,EN,GO,KO
EFILMT;AE,AH,AY,EI,EL,EX
EFILNO;AR,AT,CI,CT,DD,DI,DR,DU,GL,GR,OR,RU
EFILNS;BU,CH,CT,CU,DI,DR,HI,KU,LY,MU,UX
EFILNT;IK,IL,IR,IY,NU,RT
EFILNY;AF,DR,IT,RZ,UW
EFILOO;AR,HK,KR,KT,NR
EFILOS;AC,AG,AJ,AR,AT,EM,ER,GG,HP,JR,JT,MT,PP,PR,RT,TT
EFILOU;CV,DN,DR,DT,IQ,NR,RR,RT
EFILPP;AH
EFILPR;AX,DU,GU,TU
EFILRR;BB,DU,ZZ
EFILRS;AB,AC,AH,AO,AU,AV,AZ,BB,BD,CH,CK,CU,DD,DN,GN,HU,IK,IU,JO,KO,KU,OS,VV,ZZ
EFILRT;AN,CH
EFILRU;ES,FF,FP,FR,FS,HS,IS,LY,NO,OR,RS
EFILRY;AC,AK,CE,CK,DN,DV,GN,LU,NZ
EFILSS;BU
EFILST;BO,CI,CK,CN,GN,IY,JO,KO,PP
EFILSU;AR,CN,CR,EK,ER,FR,GI,HR,IR,KN,KR,LM,MN,MY,NX,PP,RR
EFILSX;AT,NU
EFILTU;AU,DO,DP,LY,NN
EFILWY;HT,NU
EFILZZ;
EFIMOT;AR,ER,RR
EFIMRR;DU,NO,OO,OT,OW,PU
EFIMRS;MU,NO,NS
EFIMRT;AO,OR
EFIMRU;CL,DR,GU,PR,ST
EFIMST;AN,EM,GN,NT
EFINNR;AB,AL
EFINNU;AA,CD,LT
EFINPR;IK
EFINRS;BO,CO,HI,IM,IY,MO,MS
EFINRY;AG,ER,GI,GL,GR,GT,IS,LZ,OT
EFINST;BE,EN,ET,GL,GM,KU,MT,NU,OT
EFINSU;AB,AC,BL,CH,CL,FG,FO,KL,KT,LM,LO
EFINZZ;
EFIOOR;AL,HO,KL,LN
EFIOOT;KL
EFIORS;AD,AL,AN,CF,CI,CN,CP,DE,DF,DG,DU,EH,EL,EX,FP,FX,GV,HP,HV,JL,KL,KN,LP,MN,NN,NP,NU,PR,RW
EFIORW;DN,FT,GN,KL,LL,ST
EFIORX;ES
EFIORZ;RU,RW
EFIOST;AL,BL,CG,GG,IN,JL,KL,LT,LU,NT
EFIOSX;CN,ER,FR,NS
EFIPRS;AF,CO,FI,FO,HI,HO,HS,HU,IU,OO,OR,PR,UX
EFIPRX;AL,DE,ES,SU
EFIQSU;AR,DF,FR
EFIRRS;AA,AI,AN,AR,AT,DT,GG,GT,IT,OP,OT,OW,PP,TT
EFIRRZ;AN,OW
EFIRSS;FN,IM,KR,LM,MN
EFIRST;
EFIRSU;AI,AL,AQ,CF,CL,DF,DO,EL,FL,FQ,HL,HP,IL,IP,KL,MM
EFIRSV;AL,EH,EI,GO,HO,LV
EFIRSX;AF,AN,FO
EFIRSZ;AL
EFIRTT;BO,EZ,GN,HO,PY
EFIRTY;DN,EH,ES,GN,NO
EFIRUX;
EFIRVY;DL,ER,IV
EFIRZZ;
EFISST;BU,DI,DU,EH,ET,FI,FT,HI,HU,IT,IW,SU,TU,TW
EFISTT;CH,DE,EH,EN,ES,FO,FS,IN,IS,IW,MN,MO,NO,OO,SU,SW
EFISTY;CI,EL,ER,IL,IP,LL,LR
EFISWY;AL
EFISZZ;IT,TU
EFKLSS;AO,AT,CE,FI,OR,PU
EFKLSU;EI,IN,IR,IT,NR,NY
EFKLUY;
EFKNRU;DO
EFKORR;AN,AW,TW
EFKRSU;DE,IL
EFLLOS;CK,CU,RU
EFLLOT;ER,IK,OW
EFLLOW;AB,AD,AR,DE,DO,LO,LY,OR,OT,RU,UY
EFLLRU;AB,AW,AX
EFLMNY;
EFLMSU;AH,AW,EN,ES,IL,IN,IY,PR
EFLMSY;AI,AO,IU
EFLNNU;AL,DE,IT
EFLNOS;AR,AV,AW,HR,KM
EFLNOT;AC,AH,AI,AM,AN,AP,CI
EFLNOY;AN,HU,ST
EFLNPU;
EFLNSU;BI,CE,CI,DE,EM,ER,IK,IM,IX,KR,UU
EFLNTU;AD,AF,AR,IN,LY
EFLOOT;EV,GY,IK,KM,LW
EFLOOY;GT
EFLOOZ;
EFLORR;AV,EW,MY,UY
EFLORS;HN,HY,IJ,IK,IP,KM,PP,VY
EFLORT;EF,EL,EV
EFLORU;AM,BE,BW,CF,EM,IR,KW,OV,PW,PX,RY
EFLORW;AG,AL,AM,BE,BU,DE,ER,EV,IK,IL,KU,LO,LU,OV,PU
EFLORX;PU
EFLOST;BI,CK,DE,EV,HP,IJ,IK,IM,IT,MT
EFLOSU;CL,EX,HP,HU,HY,KP,UX
EFLOSX;EU,HO,UU
EFLOSY;AM,AR,DE,HR,HU,NT,RU,RV
EFLOUW;BR,DO,DP,KR,LR,LY,PR
EFLPPU;
EFLPRU;FI,GI,IT,OW,OX
EFLPSY;AR,CK,RU
EFLRRU;AN,IO,OY
EFLRSU;BB,BM,CI,DD,DU,GU,II,IK,KN
EFLRSY;IT,OU,OV,PU,TU
EFLRTU;
EFLRUU;AC,CN,FN,GS,LY,MN,PS,ST
EFLRUX;AL,OP
EFLRUY;ET,MM,OR,OS,ST,TT
EFLSSU;AT,AV,BI,CF,DI,EM,ES,EZ,GT,IT,KP
EFLSTU;BF,BU,CH,GS,HS
EFLSTY;AL,BL,EI,II,IL,IR,NO,RU
EFLSUU;AN,AP,BT,DR,GR,HO,LY,NU,OX,PR,RT
EFLSUX;AF,EF,EO,ER,IN,OU
EFLTUY;ER,IL,LN,RS,RT
EFLUZZ;
EFMNOR;DU,NT,TY
EFMNOT;AL,DE,ER,NR,RY
EFMNRU;DO,LU
EFMORR;DE,EF,EH,ER,IN,IO,IT,IW,LY
EFMORS;CY,IT,KL,LS,LU,OT,OU,PT
EFMRRU;DI,EP,IP
EFMRSU;AA,AB,AF,BL,EP,FL,IM,IT,LO,LP,OO
EFMSTU;ET,OT
EFMTUY;
EFNNRU;
EFNORR;BE,BO,CE,EZ,II,IM
EFNORS;AI,AK,AL,AP,AU,BI,DF,DL,DO,DP,DU,EE,EN,HL,IK,IN,IP,IU,LU,NU,OW,RU,RW
EFNORZ;LY
EFNOST;ET,II,IT
EFNOSY;AP,BS,LT
EFNRTU;AL,BE,DU,EL,EQ,ET,GI,IT
EFNRYZ;IL,LO
EFNSTU;AS,AY,CD,CO,DI,IK
EFOORR;DE,DW,ET,NW
EFOORT;AB,AC,AG,BE,CU,ER,FO
EFOORW;DE,DH,DR,LL,LV
EFOPRT;AL,AN,AR,CE
EFORRU;DI,DW,IL,IZ,LY,RW,TT
EFORRV;GI,IL
EFORST;AC,AM,AV,AY,CR,EM,ER,RY
EFORSU;AN,DI,DN,EV,IN,MO,NN
EFORSY;CM,EG,HL,LU,LV,OP,RT
EFORTU;AK,CO,RT
EFORTW;CE,FI,KR
EFORWW;
EFOSSS;CU,II,NT,RT
EFOSTT;AL,AU,EM,EN,EU,FI,IL,IM,IN,IO,LM,LN,LR,MU,NR,OP,OR
EFOSTU;CN,ES,ET,MT,OX
EFRRSU;AC
EFRRSY;AO,OT
EFRRTU;AC,OT
EFRRUU;DN
EFRSSU;AC,NT
EFRSSW;AT,FO,IT
EFRSUZ;IT
EFRTTU;EN,OR
EFRTTY;AL,IP,LU
EFRTUU;DN
EFRTUX;
EFSSSU;CO,EL,FU,IT
EFSTTU;AL,AO,EM,EO,IL,IT,LN,MO
EFSTTY;
EFSTUZ;IR,IZ
EFSUZZ;IT
EGGGIL;
EGGGIN;AN,JS
EGGGLO;
EGGGLU;
EGGGNO;NR
EGGHIL;
EGGHOR;AU,EL,LU
EGGHOT;
EGGHRU;AO,LO,TY
EGGHSY;
EGGIIL;GR,JR,RW
EGGIIN;AV,BN,BO,DN,FN,HN,HW,NN,NR,NW,RV
EGGIIP;
EGGIJL;IR
EGGIJR;DE,ER
EGGILM;AN,NU
EGGILN;
EGGILO;AT,CO,FS,KN,NN,OS,ST
EGGILR;AC,AF,AL,BU,IJ,RU
EGGILS;FO,OO
EGGILT;AN,AO,EN,NN
EGGILU;BR,RR
EGGILW;
EGGIMN;AL,BE,LU
EGGIMO;
EGGINR;DD,OR
EGGINS;BG,ET,EU,GJ,GP,KO,TT,TU
EGGIPU;
EGGIRR;DE,EJ,GO,LW,NO
EGGIRT;EN,FU
EGGIRW;
EGGISU;AD,AM,AR,DR,EN,FT,HS,HT,MT,NS,NT,RT,TV
EGGJLO;
EGGJLU;
EGGJOR;
EGGKSS;ER
EGGLLY;IN
EGGLMU;IN
EGGLNO;CY,IK,IN
EGGLOO;CI,ER
EGGLOR;AY,EH,EO,HU,UY
EGGLOT;AI
EGGLOW;AY
EGGLPU;
EGGLRU;BI,HO,IN,IR,OY
EGGLTU;
EGGMRU;
EGGNRU;BE,DO
EGGNSU;BE,EI,IS
EGGNTU;AD,DE
EGGOPR;AA,AI,AU
EGGOPS;AA,AD,AE,RR
EGGORR;AM,FI,FY,GI,GY,IN
EGGORS;EV
EGGORT;AM
EGGORU;AH,AP,DN,HL,IN,LY
EGGOSU;DN
EGGPRY;
EGGRRU;
EGGRSU;EP,EQ,IP
EGGRTU;FI,HY
EGHHIR;BD,DE,OV
EGHHIT;CN,EN,LY
EGHHSU;AM,DE
EGHHUW;DE,OR
EGHIIN;CY,DS,GN,GW
EGHIKS;GW,IL
EGHIKT;BN,CN,DN,EN
EGHILN;NU,UW
EGHILS;AL,AP,AR,DE,ER,FI,IK,IL,MP
EGHINO;AB,BR,BT,BV,LL,LT,LV,MR,NY,RT,RV,TZ
EGHINR;BO,CO,CP,CU,MO,OV
EGHINS;AD,AF,AV,AZ,DD,DG,DI,DN,EN,EY,GS,HS,IV,NS,NU
EGHINT;OZ,QU,UW
EGHINW;AM,EL,EM,EP,EZ,GI,LM,LP,LU,TT,TU
EGHINX;AL,MU
EGHINY;CI,CV,NO,OS
EGHIOT;BN,LN,NZ
EGHIRS;DG,EL,EW,GL
EGHIST;AM,EI,ES,GU,MP,MT,SU,TT,UV
EGHISW;ER,GK
EGHITW;CN,ER,NR,NT,NU,OU
EGHITY;HL
EGHLMP;NO
EGHLNT;EN
EGHLOS;DL,DU,IU,LU,NR
EGHLPU;DE,DO,LO,OR
EGHLSY;AA
EGHLUY;AC,NR
EGHMMO;
EGHNOR;AV,BI,CI,DT,DY,IM,IT,IV
EGHNOS;AL,AM,AX,EM,EP
EGHNOU;BL,KL
EGHNRU;CI,DE,EN,IR,LY
EGHNST;ER,OU,RT
EGHOPR;AP,DE,LU,LY
EGHOTT;DE,ER
EGHRSU;AB,AC,AL,BR,CO,CT,OR,OT
EGHSSU;AM,AO,EN,GI,IT,MO,PU
EGHSTU;AC,BO,CI,CL,CR,EG,ET,GI,IO,IS,IV,NO,OR,OT
EGIIJL;GR,NR
EGIIKN;DS,KL,LN,LR,LW,MS,NR,NS
EGIILL;AU,BE,BF,BN,BY,GN,KO,NO
EGIILR;AM,EF,FU,GG,GJ,GW,TU,TZ
EGIIMM;LN,NO,NW
EGIIMN;BS,BX,BY,DL,DS,ES,FS,KS,LM,MO,MW,OS
EGIINN;AL,AN,CT,FG,FT,FX,GH,GN,GT,GW,KL,LO,LT,LU,TU,WZ
EGIINP;LR,RV,RX
EGIINR;AC,AE,CP,FU,FX,FY,OP,OS,PS,PX,SU
EGIINT;BW,CN,FN,NU,QU
EGIJLN;
EGIJNW;EL
EGIJRS;AH,EN,KN,LN
EGIKLN;CC,CF,CH,DU,IN,LN,LU,LV
EGIKLR;EM,FO
EGIKLS;HI,LU
EGIKNR;KT,MS,RS,TW
EGIKNU;DL,DN,LL,ST
EGIKNW;AN,AR,AT,CR,RT
EGIKNY;
EGIKRS;AN,AP,BN,EN,JN,MN,NN,NR,NU,NY
EGILLN;DU,EK,EV,KN,KU,KV,QU,UX
EGILLR;BE
EGILLT;
EGILLU;BL,BN,EK,FK,FN,FU,KN,NQ,NT,NX
EGILMN;BE,CO,EE,NO
EGILMP;AN,DE,NU,RU
EGILMS;MR
EGILMT;AH,AU,DE
EGILNN;BY,EK,HU,IK,IO,IR,IT,IU,IV,KL,LO,MO,MU,TT,TU
EGILNO;AR,CM,CO,ER,FR,GK,GN,HV,IN,IR,MN,RU,RW,VV
EGILNP;BB,MU
EGILNR;DD,DU,OU,OW,RU,UV
EGILNS;CY
EGILNT;GN
EGILNU;ER,HN,HW,IN,JR,KL,LQ,LX,OR,RR,RV
EGILNZ;AT,BZ
EGILOO;CC,CG,CN,DR,DY,LR,MR,PR,RR,TY
EGILOP;AT,CI,EU,OR,PR
EGILOR;AN,EN,FK,FN,HT,IN,NU,NW,OP,OR,PP,RW,TV,TY
EGILOS;CI,FG
EGILOU;CJ,EP,EZ,NR
EGILPR;AE,AL,HT,MS,OO
EGILPT;AO
EGILPY;
EGILRS;MM,MP,PP,ZZ
EGILRT;AE,AU,CE,EE,EV,IU,IZ,OV
EGILRU;AH,AL,AT,CN,EN,EZ,GN,IT,JN,MN,NO,NY
EGILRV;AC,AL,AN,AW,DO,IN,OT
EGILSS;DE,EE,EP,GM,MP
EGILST;DD
EGILSU;BE,CD,DP,DV,EQ,FI
EGILTU;IR
EGILTW;IK
EGIMMR;
EGIMMS;AT,ET,LN,NT
EGIMNN;LU
EGIMNP;DU,LU
EGIMNR;
EGIMNS;BI,FI,IP,IV
EGIMNT;
EGIMNV;AS
EGIMNW;AH,EH,EM,IM
EGIMNY;AB,BI,CO,CU,ER,JM,OS,PT,RU
EGIMOS;BY,DD,FY
EGIMPU;AR,HR,LN,LR,NR,RR
EGIMPY;NT
EGIMRS;DU,IT,LP,PU
EGIMST;EM,ER,GU,HP,HT,IP,IR,MR,MU
EGINNP;
EGINNR;
EGINNS;BB,JO,KN,OO,OP
EGINNU;GL,GM,IL,IM,IT,LM,LT,MW,NY
EGINNW;CH,GI,IV,IZ
EGINOO;CE,CG,CL,CP,CY,CZ
EGINOP;AT,CO,CY,XY
EGINOR;BH,BL,BW,EL,GU,IL,KY,LU,LW,XX
EGINOS;GK,TT
EGINOT;AN,AP,BH,CS,ES,HS,KN,NN,OS,PS
EGINOW;BL,BR,CR,FR,LR,LT,PR,RT,RV
EGINPP;
EGINPR;IX
EGINPS;CC,CK,CT,DN,FN,GG,KM,MT,TT
EGINPU;AD,CL,DM,DT,FY,LM
EGINPY;AT,CO,FU,MT,OX
EGINRR;EE,EF,EL,EP,EV,FY,GU,LU,LY,PU,TY
EGINRS;JK
EGINRT;CK,KK,KW
EGINRU;BY,CH,CL,CR,EL,EQ,HR,JL,JQ,LO,LR,LV,LY,QY
EGINRW;EN,ET,FO,KT,LO,OP,OT,OV
EGINRZ;BE,EE,EF
EGINSS;HH,HO,OO
EGINST;CE,CO,CP,EG,EO,EP,OO,OP,PP
EGINSU;EG,ES,FF,GS,QU
EGINSV;AE,AH,AL,AM,AW,AY,DL,DN,EL,EN,HL,LU,NY
EGINSW;AA,AV,BB
EGINSX;CI,CU,DE,NU,OP
EGINSY;CL,EH,GL,LL,LU
EGINTU;EX,HQ,HW,IN,IQ,OV
EGINTW;AB,AK,AR,BI,CH,HR,HU,KR,OR
EGINTY;AP,AS,JT,MP
EGINVX;LY
EGINVY;AS,BV,CH
EGINWX;AD,AR,FL
EGINXY;CE,CO,LV,OP
EGINZZ;BL,DE
EGIOOR;LL,LM,LR,RV
EGIOOS;AM
EGIOPR;AG,AR,LP
EGIOPS;DS,DT,EU,OT
EGIORR;AF,AP,FG,GG,LO,LW,TT
EGIORS;AS,AV,DF,FV,SU,UV
EGIORT;LY,RT
EGIORV;AS,DL,EV,HH
EGIOST;BB,BD,BG,CF,CI,CN,DD,DG,DP,FG,NP
EGIOSV;AR,FR,RU
EGIOTY;LO,LR,RS
EGIPPR;
EGIPPY;
EGIPRR;DO,EN,MU,NU
EGIPRS;DG,EE,ET,GU,IT,IW,LM,MU,UU
EGIPRY;AT,OS
EGIRRS;AA,AE,AH,AM,AS,AZ,EF,IL,LL
EGIRRV;AN
EGIRSS;GW,MO,OP
EGIRST;DE,DI,EM,EP,ET,IM,IP,MM,TT
EGIRSU;AE,AG,AQ,AU,AY,GP,MP,OP,OV,PU
EGIRSV;FO,LU,OU
EGIRSY;AU,OP,OT,RT
EGIRSZ;CE,OT
EGIRTV;EL
EGIRTY;AP,AR,EE,OS,RS
EGIRUZ;EL
EGISST;EH,EV,HU,HY,IP,TU
EGISSU;EN,GH,GN,GO,GP,HT,LN,TT,WY
EGISTU;BG,CH,CK,FG,GH,GM,GP,GV,HO,HS,HV,MM,OV
EGISZZ;
EGJLNU;IR,OR,OT
EGJLTU;AU,NO
EGKLSU;AB,AO,IL
EGKMSU;BC
EGKNOY;IR
EGKNRS;BI,EI,EO,EU,HI,IJ,IL,IM,IN,IR,IU,IY
EGKRSY;AM,IN
EGLLOR;BY,CE,CY,DE,MW,OP
EGLLOS;AC,AN,AS,AT,BU,CE,DH,DS,HU
EGLLRU;AI,DE,ER
EGLLTU;BO,EF,IN
EGLLUY;DE
EGLMOS;AD,AE,AP,AR,AU,BO,EE,ER,ES,NO,NR,OR,RS,SS
EGLMSU;AO,AP,AR,BR,BU,IN,IO,MT
EGLNNU;AI,AT,ET,GI,HI,II,IM,IT,TY
EGLNOP;AT,EM,EY,HM,OR,OY,YY
EGLNOR;AI,AJ,AN,AY,BI,FI,II,IW,NO,OP,OV
EGLNOS;CK,CO,EZ,MO,NS,SS
EGLNOU;AA,BH,BW,HK,JT
EGLNPU;CI,IM
EGLNRU;CI,EI,FI,GI,HY,IJ,IM,IR,IV,IY
EGLNST;
EGLNSU;CH
EGLNTU;EM,EN,JO,NY
EGLNTY;CO,EO,IR,NU,RU
EGLNUU;OR
EGLOOY;AR,DI,DM,DP,FT,HR,HT,IT,LP,OR,PT
EGLOPR;HU,HY,IO,IP,LO,MU,NO,OU,TU
EGLOPS;AM,LY,TU
EGLORS;BB,CK,EM
EGLORU;AT,GH,GY,HP,MP,OP,PT
EGLORV;DE,DI,ER,EY,IT,NO
EGLORW;AB,AF,AT,IN,LM
