AABB;D,G,K,S,Y
EFST;A,E,F,H,I,L,N,R,S,T,U,W,Y
EFSU;D,E,L,M,S,T,Z
EFSW;I,L,R,T
EFSY;C,K,L,T
EFTT;A,H,I,S,Y
EFTW;A,E,H,S
EFUZ;D,E,R,S
EGGL;E,I,O,Y
EGGS;A,K,T,Y
EGGT;S
EGGY;H,L,P,S
EGHP;A,S
EGHU;H,L,R,S,T
EGIL;A,B,D,E,G,K,M,N,O,R,S,T,U
EGIN;B,C,D,E,F,G,H,I,K,L,M,P,R,S,T,V,W,X,Y
EGIS;A,B,E,L,N,R,T,U,V
EGIT;H,L,N,R,S
EGIV;D,E,N,O,R,S
EGKS;C,E,G,S
EGLN;A,I,O,S,T,U
EGLO;B,D,E,F,G,I,M,N,P,R,S,V,Y,Z
EGLS;A,C,D,E,F,I,N,O,T,U,Y
EGLT;A,E,I,N,S,U
EGLU;B,D,F,H,I,K,M,N,R,S,T,Y
EGLY;A,B,D,E,G,H,L,O,S,U
EGMN;A,E,I,O,S,U
EGMR;A,E,I,O,S,U,Y
EGMS;A,N,R,U
EGMU;B,D,L,N,R,S
EGNO;A,C,F,H,L,M,N,P,R,S
EGNR;A,E,I,K,O,S
EGNS;A,E,I,L,M,O,R,T,U
EGNT;A,E,H,I,L,S,U,Y
EGNU;A,B,D,G,L,M,P,S,T
EGOR;B,D,F,G,I,L,M,N,P,R,S,T,U,V
EGOS;D,E,L,N,O,R,S,T,V,X
EGOT;A,B,D,H,M,R,S,U,Y
EGOV;I,L,R,S,U
EGOY;B,D,E,F,L,O,P,T
EGPS;A,E,H,U
EGRS;A,B,D,E,I,M,N,O,U,W,Y
EGRT;A,E,I,O
EGRU;A,B,D,F,G,H,L,M,O,P,R,S
EGRW;A,S
EGRX;
EGRY;A,C,D,E,K,M,P,S
EGSS;A,E,K,O,T,U
EGST;A,E,G,H,I,L,N,O,S,U,Y
EGSU;A,D,E,H,I,L,M,N,P,Q,R,S,T,Y
EGTU;A,H,L,N,O,P,S
EGTY;N,O,S
EGVY;D,S
EHHS;T
EHHT;A,C,I,K,S,Y
EHIK;D,R,S,T
EHIL;C,O,S,T,W,X
EHIR;D,E,K,M,N,R,S,T,V
EHIS;C,D,K,L,M,N,O,R,S,T,V
EHIV;C,D,R,S
EHJU;S
EHKO;B,C,D,N,S,Y
EHKS;A,C,I,M,O,T,Y
EHKT;C,E,H,I,S,Y
EHKU;A
EHKY;O,S,T
EHLL;O,S
EHLM;A,O,S,W
EHLO;A,C,D,I,L,M,S,T,V,W,Y
EHLP;A,C,D,S,W,Y
EHLR;A,S
EHLU;A,C,G,S
EHLY;A,C,G,O,P,S,T,X
EHMO;A,C,D,I,L,M,R,S,T,Y
EHMP;S,Y
EHMR;A,C,E,I,O,S,T,U,Y
EHMS;A,C,E,I,K,L,N,O,P,R,T,Y
EHMT;A,E,I,O,R,S,Y
EHMV;E
EHNO;C,D,F,G,K,O,P,R,S,T,V,Y
EHNR;I,O,S,Y
EHNS;A,D,E,I,M,O,R,T,W,Y
EHNT;A,C,E,G,I,O,S,T,U
EHNW;C,E,I,S
EHNY;A,D,M,N,O,R,S
EHOP;C,D,N,R,S,T,U
EHOR;C,D,M,N,P,S,T,V,W
EHOS;C,D,I,K,L,M,N,P,R,S,T,U,V,W,X,Y
EHOT;D,G,L,M,N,P,R,S,W
EHOV;A,D,E,L,N,O,R,S
EHOW;B,C,L,R,S,T,W
EHPS;A,C,E,G,L,M,O,S,T,Y
EHPT;D,O,S
EHPW;E,L
EHPY;A,D,L,M,R,S
EHRS;A,B,D,E,F,I,L,M,N,O,T,U,W,Y
EHRT;A,B,C,D,E,I,M,O,S,W,Z
EHRU;A,C,G,M,S
EHRY;A,B,E,M,N,P,R,S
EHSS;A,C,D,I,O,P,T,W
EHST;A,B,C,E,F,G,H,I,K,M,N,O,P,R,S,T,U,W,Y
EHSU;A,C,G,J,L,O,R,T
EHSW;A,C,L,N,O,R,S,T,W,Y
EHSY;A,C,E,K,L,M,N,O,P,R,T,W
EHTT;A,E,F,I,N,S,Y
EHTW;A,C,F,I,O,R,S,Y
EHTY;C,F,H,K,L,M,S,T,W
EHWW;O,S
EHWY;C,S,T
EIJV;D,R,S,U,Y
EIKK;S
EIKL;A,C,D,G,M,N,R,S,V,Y
EIKM;D,L,N,S
EIKN;D,F,G,L,M,O,P,R,S,V,Z
EIKP;D,N,O,R,S,Y
EIKR;B,C,D,F,G,H,I,L,N,O,P,S,T,Y
EIKS;A,B,D,F,H,K,L,M,N,P,R,S,T,V,Y
EIKT;D,H,R,S
EIKV;E,L,N,S
EIKY;D,L,P,R,S
EILM;A,C,D,E,G,K,L,N,O,P,R,S,U,Y
EILN;A,C,D,F,G,K,M,N,O,R,S,T,V,Y
EILP;A,C,D,I,M,O,R,S,X
EILR;A,B,C,D,E,F,G,K,L,M,N,O,P,S,T,V,Y
EILS;A,B,C,D,E,F,G,H,K,L,M,N,O,P,R,S,T,U,V,W,X,Z
EILT;A,B,C,D,E,F,G,H,N,O,R,S,T,U,X
EILU;G,M,O,S,T,Y,Z
EILV;A,B,D,E,K,N,O,R,S,X,Y
EILW;A,D,H,S
EILX;A,E,F,H,P,S,T,V
EIMM;A,D,G,O,R,S,W
EIMN;A,C,D,G,H,I,K,L,O,R,S,T,V,X,Y,Z
EIMR;A,C,D,F,G,H,L,M,N,O,P,R,S,T,X
EIMS;A,C,D,E,H,K,L,M,N,R,S,T,X
EIMT;C,D,F,H,N,P,R,S,X
EINN;A,B,D,J,L,P,R,S,U,V
EINO;B,K,L,M,P,R,S,V
EINP;D,E,G,K,N,O,R,S,T,Y
EINR;A,B,C,D,F,G,H,K,L,M,N,O,P,S,T,U,V,W,X
EINS;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,V,W,X,Z
EINT;A,D,F,G,H,L,M,P,R,S,T,U,W
EINV;A,D,E,G,K,L,M,N,O,R,S,W,X,Y
EINW;C,D,E,G,H,R,S,T,V,Y,Z
EINX;A,C,D,E,F,G,I,M,R,S,V
EINZ;A,B,D,E,H,K,M,S,W
EIOU;L,R
EIOW;B,D,R,S,T,Y,Z
EIPP;D,R,S,T
EIPR;A,C,D,F,G,K,L,M,N,P,R,S,T,V,W,Z
EIPS;A,C,D,E,K,L,N,O,P,R,S,T,W,X,Y,Z
EIPT;A,D,M,N,P,R,S,T,U,W,Y
EIPW;D,R,S,T
EIPY;K,N,O,S,T,X
EIPZ;D,E,O,R,S
EIRS;A,B,C,D,E,F,G,H,K,L,M,N,O,P,R,S,T,U,V,W,X,Z
EIRT;A,B,C,D,E,F,G,H,K,L,M,N,P,R,S,T,U,V,W
EIRU;A,C,D,N,O,Q,S,T
EIRV;A,D,E,F,G,H,J,L,N,O,P,R,S,T,V,W,Z
EIRW;D,N,O,P,R,S,T,V
EISS;B,C,D,E,F,H,I,K,L,M,N,P,R,S,T,U,V,W,X,Z
EIST;B,C,D,F,G,H,K,L,M,N,O,P,R,S,U,V,W,X,Y,Z
EISV;A,B,C,D,E,F,G,H,I,J,K,L,N,R,S,T,V,W
EISW;D,E,F,L,N,O,P,R,S,T,V,Z
EISZ;A,B,D,E,L,N,P,R,S,T,W
EITT;A,B,F,H,L,N,P,R,W
EITU;C,L,N,P,Q,R,S
EITV;A,C,E,R,S,X
EITW;A,C,D,H,N,O,P,R,S,T
EITX;A,L,M,S,V
EITY;D,I,P,S
EITZ;B,O,S
EIVV;R,S
EIVW;A,D,N,R,S,Y
EJKO;D,P,R,S,Y
EJKR;A,O,S,Y
EJKU;D,S
EJLL;O,S,Y
EJLO;D,L,P,S,U
EJNO;R,S,T,Y
EJOS;B,K,L,N,Y
EJOY;D,K,N,S
EJPU;L,S,T
EJRU;L,S
EJSS;E,T,U
EJST;A,E,S,U
EJSW;
EJTU;P,S
EJUV;I,S
EJUX;
EKKS;A,C,E,I
EKLL;N,S,V,Y
EKLO;B,C,S,T,Y
EKLP;E,S,Y
EKLS;A,E,F,I,L,M,O,P,T,W,Y
EKLT;A,N,O,S,T,W,Y
EKLU;F,G
EKLW;A,E,H,S,T
EKLY;A,I,L,O,P,S,T
EKMO;B,S
EKMP;S,T,Y
EKMR;A,S
EKNO;A,D,E,H,I,R,S,T,W
EKNP;A,I,S
EKNR;A,E,G,I,O,S
EKNS;A,C,E,F,I,O,P,R,S,T,U,Y
EKNT;A,E,L,O,S,U
EKNU;D,S,T
EKNW;A,O
EKNY;D,S
EKOP;A,D,E,I,J,K,R,S,T,U,Y
EKOR;A,B,C,D,I,J,K,N,P,R,S,T,W,Y
EKOS;B,C,D,H,J,L,M,N,P,R,S,T,Y
EKOT;A,D,L,N,P,R,S
EKOW;A,N,R
EKOY;D,H,J,L,P,R,S
EKPR;E,I,O,S,U,Y
EKPS;A,C,E,I,L,M,N,O,R,S,U,Y
EKPT;M,O,U
EKPU;D,O,R,S,T,Y
EKPY;A,C,I,L,M,O,R,S,U
EKRS;A,B,C,D,E,F,I,J,M,N,O,P,S,T,Y,Z
EKRT;A,C,E,I,O,S,W,Y
EKRY;D,E,G,I,J,K,O,P,R,S,T
EKRZ;S
EKST;A,D,E,H,I,L,N,O,R,S,Y
EKSU;A,B,C,D,J,N,P,Y
EKSW;A,E,L,S
EKSY;B,D,F,H,I,L,N,O,P,R,S,T,U,Y
EKSZ;R
EKTY;H,L,R,S
EKUY;D,P,S,Y
ELLM;E,I,S
ELLP;A,S
ELLS;A,B,C,D,E,F,H,I,J,K,M,N,O,P,S,T,V,W,Y
ELLT;S,U,Y
ELLV;E,K,S
ELLW;D,S,Y
ELLY;A,B,D,F,G,J,K,N,S,T,W
ELMO;A,B,C,D,G,H,I,N,R,S,T,U,Y
ELMR;A,E,I,O,S,U
ELMS;A,C,D,E,H,I,K,L,O,R,T,U,W,Y
ELMT;A,O,S,Y
ELMU;A,B,D,E,F,G,I,M,N,O,P,R,S,V,Y
ELMW;H,S
ELMY;A,I,O,S,T,U,X
ELNO;A,B,C,D,E,F,G,I,M,P,R,S,T,U,V,W,Y,Z
ELNS;A,D,E,G,I,L,O,U,Y
ELNT;A,B,G,I,K,O,U
ELNU;A,C,D,G,M,O,S,T
ELNY;A,D,I,L,O,S,W
ELOO;B,D,I,S,Y
ELOP;A,D,E,G,I,J,N,R,S,U,Y
ELOR;A,B,C,D,F,G,I,L,M,N,P,S,U,V,W
ELOS;A,B,C,D,F,G,H,I,J,K,L,M,N,O,P,R,S,T,U,V,W,X,Y
ELOT;B,C,D,F,H,I,K,M,N,S,T,V,W,X,Z
ELOV;A,C,D,G,H,I,N,R,S,T,U,V,W,X,Y
ELOW;A,B,D,H,N,R,S,T,V
ELPR;A,E,I,O,S,U,Y
ELPS;A,B,D,E,F,H,I,K,L,O,R,T,U,W,Y
ELPT;A,C,S,U
ELPU;A,C,D,J,M,O,R,S,T,Z
ELPW;H,S
ELPX;E,I
ELPY;A,B,C,F,H,K,O,R,S
ELRU;A,B,C,D,F,G,J,M,O,P,R,S,T,V,X
ELRY;A,B,D,E,F,I,P,S,T
ELSS;A,B,D,E,F,I,L,O,T,U,W,Y
ELST;A,B,C,D,E,F,G,I,K,L,M,O,P,S,U,W,Y
ELSU;A,B,C,D,F,G,H,I,M,N,O,P,R,S,T,X,Y
ELSV;A,D,E,I,L,O
ELSW;A,C,D,E,F,H,I,K,L,M,O,P,S,T,Y
ELSY;A,B,D,E,F,G,H,K,L,M,N,O,P,R,S,T,U,W
ELSZ;A,E,I
ELTT;A,E,I,K,O
ELTU;A,B,C,D,E,F,G,I,L,N,P,R,S,X
ELTW;D,E,K,O,S,Y
ELTY;C,D,F,H,K,L,M,R,S,W
ELUX;C,D,R,S,T
ELUY;B,C,F,G,I,M,S
ELVY;A,I,O
ELWY;D,L,N,S,T
ELZZ;A,I,Y
EMMO;D,H,I,S
EMMS;A,E,I,O,Y
EMMY;A,F,G,J,R,S
EMNN;O,S,U
EMNO;D,G,I,L,N,R,S,T,V,W,Y
EMNT;A,I,O,P,U,Y
EMNU;E,G,L,N,R,S,T,W
EMOP;B,D,R,S,T,Y
EMOR;A,B,C,D,F,G,H,I,L,N,O,P,R,S,T,V,W
EMOS;B,C,D,F,H,K,L,M,N,O,P,R,S,T,U,V,W,Y,Z
EMOT;C,D,E,G,H,L,N,P,R,S,T,Y
EMOU;D,L,S
EMOV;A,D,E,I,N,O,R,S
EMOW;B,D,N,R,S
EMOZ;D,S,Z
EMPR;A,I,O,S,T,Y
EMPT;D,I,K,N,O,R,S,T,Y
EMPY;H,K,O,R,S,T
EMRS;A,B,C,D,E,F,G,H,I,K,L,O,P,T,U
EMRT;A,E,H,I,O,P,S,U
EMRU;B,D,E,F,G,H,L,N,R,S,T,X
EMSS;A,E,I,O,T,U,W,Y
EMST;A,E,H,I,L,O,P,R,S,U,Y
EMSU;A,B,D,E,F,G,L,N,O,P,R,S,T,X
EMSW;A,B,E,L,O,S
EMSY;A,C,D,H,L,M,O,P,S,T,Z
EMTU;D,F,N,R,S
EMYZ;A,N,S
EMZZ;E,O
ENNO;B,C,D,G,M,R,S,T,X
ENOP;A,C,G,H,I,L,R,S,T,Y
ENOR;B,C,D,F,G,H,I,J,K,L,M,N,O,P,S,T,U,V,W,Y,Z
ENOS;A,B,C,D,F,G,H,I,J,K,L,M,N,O,P,R,S,T,U,V,W,X,Y,Z
ENOT;A,B,C,D,F,H,J,K,L,M,N,P,R,S,Y
ENOV;A,C,D,H,I,L,M,R,S,W,Y
ENOW;B,D,K,L,M,R,S,V,X
ENOX;A,B,N,S,W
ENOZ;A,B,C,D,L,O,R,S
ENPR;A,E,I,O,S,T,U
ENPS;A,D,E,I,K,O,R,T,Y
ENPT;A,I,M,O,R,S
ENPY;D,I,N,O,S
ENRS;A,B,D,E,F,G,H,I,K,O,P,T,U,W,Y
ENRT;A,B,D,E,I,O,P,S,U,Y,Z
ENRU;A,D,E,I,M,N,O,P,Q,R,S,T
ENRW;A,E,I,O,S
ENRY;A,D,E,F,H,O,S,T,V
ENSS;A,B,D,E,I,K,O,T,Y
ENST;A,B,C,D,E,F,G,H,I,K,O,P,R,S,T,U,V,W,X,Y
ENSW;A,B,D,E,H,I,O,R,T,U,Y
ENSY;A,D,E,H,K,L,O,P,R,S,T,V,W
ENSZ;A,I,O
ENTT;E,H,I,S,Y
ENTU;C,D,E,G,H,I,K,L,M,R,S,W
ENTV;E,S
ENTW;E,I,S,U
ENTX;S
ENTY;A,B,D,E,G,M,N,O,R,S,T
ENVY;E,I,O,R,S
EOOS;B,G,L,M,N,R,S,T,W,Y,Z
EOOZ;A,B,C,D,N,S,Y
EOPP;E,R,S,T,U
EOPR;A,B,C,D,G,H,K,L,M,N,P,R,S,T,V,W,Y
EOPS;A,B,C,D,H,I,K,L,M,N,P,R,S,T,X,Y
EOPT;A,D,E,H,K,M,N,P,R,S,T,Y
EOPX;D,S,Y
EORR;B,C,D,F,G,I,K,M,P,R,S,T,V,W
EORS;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,V,W,X,Y,Z
EORT;A,C,D,F,G,H,K,M,N,P,R,S,T,U,V,W,X,Y,Z
EORU;C,D,F,G,I,L,N,Q,S,T
EORV;B,C,D,G,H,I,L,M,N,P,R,S,T,W
EORW;B,C,D,H,I,K,L,M,N,O,P,R,S,T,V
EORX;B,D,F,S,T,X
EORY;B,C,F,K,N,P,S,T
EORZ;C,D,F,N,S,T
EOSS;A,C,D,F,G,H,K,L,M,N,O,P,R,T,U,W
EOST;A,B,C,D,G,H,I,K,L,M,N,O,P,R,S,T,U,V,W,X,Y,Z
EOSV;A,C,D,G,H,L,M,N,R,T
EOSW;B,C,D,H,I,L,M,N,O,R,S,T,Y
EOSX;B,C,D,F,G,H,I,L,N,P,R,T
EOSY;B,C,H,J,K,L,M,N,O,P,R,T,U,W
EOTT;B,C,D,L,M,P,R,S
EOTV;A,C,D,L,R,S
EOTY;D,G,M,N,P,R,S
EOTZ;A,D,I,L,R,S,U,W
EOVW;D,L,N,R
EOWY;D,I,S
EOYZ;C,O
EPPR;A,I,O,S,U
EPPS;A,E,I,O,R
EPQU;I
EPRS;A,C,D,E,I,K,L,M,N,O,P,S,T,U,V,W,Y
EPRT;A,C,E,I,M,N,O,S,U,W
EPRU;A,C,D,E,G,K,L,N,P,R,S,T
EPRV;A,E,I,O,S,Y
EPRX;Y
EPRY;A,C,D,E,G,H,K,L,M,O,R,S,V,X
EPRZ;I
EPSS;A,C,E,H,I,K,O,R,T,U,W,Y
EPST;A,C,E,H,I,L,M,N,O,R,S,T,U,W,Y
EPSU;A,B,C,D,E,G,J,K,L,M,R,S,T,Y
EPSW;E,I,L,R,S,T,Y
EPSY;D,E,H,I,K,L,M,N,O,R,S,T,U,W,X
EPSZ;I
EPTW;E,I,R,S
EPTY;A,D,I,M,O,S,T,Y
EQUY;N,R,S,T
ERRS;A,B,E,I,O,S,U,Y
ERRU;A,C,D,G,K,L,M,N,P,S,T
ERSS;A,C,D,E,F,I,K,O,P,R,T,U
ERST;A,C,D,E,F,H,I,K,M,N,O,P,S,T,U,V,W,Y
ERSU;A,B,C,D,E,G,H,I,J,L,M,N,O,P,R,S,T,U,V,X
ERSV;A,B,D,E,I,O,P,T,U,Y
ERSW;A,B,C,E,F,G,H,I,N,O,P,T
ERSY;A,B,D,E,G,H,K,L,N,O,P,R,T,V
ERTT;A,I,O,S,U
ERTU;A,B,C,D,I,L,M,N,O,P,R,S,T,V,Y
ERTV;A,E,I,O,S,U
ERTW;A,E,H,I,K,O,P,S,Y
ERTY;A,C,D,F,K,L,N,O,R,S,U,W
ERTZ;H,N,O
ERUV;C,E,L,S,T
ERVY;A,E,N,P,R,S
ERYY;
ESSS;A,E,I,U
ESST;A,B,C,D,F,G,H,I,J,K,L,M,N,O,P,R,T,U,V,W,X,Y,Z
ESSU;B,C,D,F,G,I,J,L,M,O,P,R,S,T,W
ESSV;A,I,T
ESSW;A,E,H,I,K,L,M,O,P,T,U,Y
ESSY;A,C,E,K,L,M,N,P,T,W
ESTT;A,E,F,H,N,O,P,R,S,X,Y
ESTU;A,B,C,D,E,F,G,H,I,J,L,M,N,O,P,Q,R,S,X,Y
ESTV;A,E,I,N,O,R,S
ESTW;A,E,F,H,I,L,N,O,P,R,S,Y
ESTX;A,E,I,N,O,S,T,U
ESTY;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,W,Y,Z
ESTZ;A,I,O,S,Y
ESUY;G,K,L,O,P,Q,T
ESWY;H,L,N,O,P,S,T
ESXY;E,P
ETTX;S
ETTY;B,F,H,J,N,P,S
ETVX;I
ETWY;D,H,L,R,S
FFFU;L,S,Y
FFGO;S
FFGU;R,S
FFHU;C,O,S,Y
FFII;S
FFIJ;S,Y
FFIK;S
FFIM;S,Y
FFIN;S,Y
FFIR;E,G,S,T
FFIT;H,R,S,Y
FFIV;S
FFIY;B,J,M,N,T
FFIZ;S
FFKO;S
FFLU;A,B,F,P,S
FFMU;S
FFNU;S
FFOS;B,C,D,G,K,T,W
FFOT;S,Y
FFOY;T
FFPT;
FFPU;A,L,O,S,Y
FFRU;E,G,S
FFTU;E,S
FGIO;E,N,S,U
FGIR;E,F,S,T
FGIS;O,R,T
FGIT;H,L,R,S
FGLO;A,E,N,S
FGLU;A,E,N,S,Y
FGNU;I,L,O,S
FGOO;N,R,S,U,Y
FGOR;E,O,S,U
FGOS;A,F,I,L,O,R,W
FGOW;S
FGOY;E,G,O
FGRU;E,F,O,S
FGSU;F,L,N,R,U
FGUU;E,S
FHIQ;S
FHIS;Q,T,Y
FHMU;S
FHNO;E,S
FHOO;C,S,W
FHOU;F,S,T
FHOW;F,O,S,T
FIIN;C,S,X
FIJU;S
FIKL;A,C,S,U
FIKN;E,S
FIKR;A,E,S
FIKS;A,E,F,L,N,R,S,U
FIKU;L,S
FIKY;
FILL;A,E,O,R,S,Y
FILM;I,P,S,U,Y
FILO;A,C,E,L,O,S
FILP;A,M,S
FILR;A,E,L,S,T
FILS;A,C,E,K,L,M,O,P,R,T,U
FILT;C,E,G,H,N,R,S,T,Y
FILX;E
FIMR;A,E,S
FINO;G,S
FINR;A,E,S
FINS;A,D,E,F,I,K,O,R,T
FIOT;M,S
FIPS;F,L,S
FIPU;
FIRS;A,B,E,F,G,K,L,M,N,T
FIRT;A,D,E,F,G,H,L,S,T,U,Y,Z
FIRZ;E,T,Z
FIST;A,E,F,G,H,L,N,O,R,S,T,W,Y
FITT;E,L,R,S
FITX;I
FIZZ;R,Y
FKLO;C,O,S,Y
FKNU;L,S,Y
FKOR;C,S,Y
FKSU;C,I,N,S
FKSY;E,S
FLLU;S,Y
FLOO;A,D,I,K,R,S
FLOP;S
FLOR;A,E,O,S,U,Y
FLOT;A,E,S,U,Y
FLOU;A,E,R,S,T,W
FLOW;N,S,U
FLOX;E
FLRU;A,E,O,R,S
FLSU;A,B,E,F,G,H,I,L,O,R
FLUX;
FMOO;S
FMOR;A,E,S,U
FMSU;A,B,E,F,H
FMUY;
FNOS;A,C,D,E,H,I,R,T
FNOT;E,R,S,U
FNSU;A,D,F,G,K
FOOP;R,S,Y
FOOR;D,G,L,P,S,Y
FOOS;C,D,G,H,L,M,P,R,T,W,Y
FOOT;A,S,Y
FOOW;H,S,Y
FOOY;B,D,G,P,R,S,T,W
FOPR;O,S
FOPS;L,O,R,U
FOPU;F,S
FORS;A,B,D,E,G,H,K,L,M,N,O,P,T,U,W
FORT;C,E,H,N,S,Y
FORU;E,G,L,M,R,S
FORW;N,S,Y
FOSS;A,E,L,T,W
FOST;A,F,I,L,N,O,R,S,T,U,Y
FOSU;B,C,D,H,L,P,R,T
FOSW;F,G,H,L,O,R,S
FOSY;A,B,O,T
FOTT;H,S
FOTU;A,E,H,L,N,S
FOWW;
FOXY;
FOYZ;
FRRU;L,O,S,Y
FRSU;A,C,F,G,H,L,O,R,S,T,Y,Z
FRTU;C,H,I,S,Y
FRUY;R,S,T,Z
FRUZ;E,S,Y
FSSU;E,K,R,T,Y
FSTU;A,C,E,F,O,R,S,T,Y
FTTU;S,Y
FTUY;B,L,R,S,T
FTUZ;
FUZZ;Y
GGHO;S
GGIM;S
GGIN;A,E,O,S
GGIR;A,S
GGIS;A,B,M,N,R
GGLU;A,S
GGMU;A,S,Y
GGNO;I,S
GGNU;A,E,Y
GGOO;D,S
GGOR;A,E,S
GGUV;S,Y
GHHI;A,E,S,T
GHHO;S,U
GHIN;A,C,E,O,S,T,Y
GHIS;H,N,O,R,S,T,W
GHIT;A,B,C,D,E,F,H,K,L,M,N,P,R,S,T,W
GHIW;E,S,T
GHNO;A,C,E,I,S,T
GHNU;
GHOS;C,G,H,I,N,S,T,U,Y
GHOT;C,E,N,S,U,Y
GHOY;A,S,T
GHPU;L
GHSU;A,C,E,O,R,S,T,V,Y
GHTU;A,E,O,S
GHUV;S,Y
GHUY;G,S,V
GIJO;N,S,T
GIJS;O
GIKN;A,E,S
GILL;A,R,S,Y
GILM;E,S
GILN;A,B,C,E,F,O,P,S,T,U,Y
GILR;A,E,L,O,S,U,Y
GILS;A,B,D,E,I,K,L,M,N,R,T,U
GILT;E,F,H,N,S,U,Z
GILU;A,D,E,N,P,R,S,T
GIMN;A,E,S,Y
GIMP;S,U,Y
GIMR;E,Y
GIMS;A,G,L,N,O,P,S
GINN;A,Y
GINO;A,B,C,D,F,G,H,J,L,P,R,T,W,Y,Z
GINP;A,E,I,L,O,S
GINR;A,B,D,E,I,O,S,U,W
GINS;A,B,D,E,G,H,K,L,M,P,R,S,T,U,W,Z
GINT;A,E,H,L,O,S,Y
GINW;A,E,O,R,S,Y
GINZ;A,O,S,Y
GIOR;A,C,E,L,N,P,R,S,T,U,V
GIOS;A,B,F,H,J,M,R,Y
GIOY;C,M,N,S
GIPR;A,E,O,S,T,Y
GIPS;M,N,R,Y
GIRR;E,O,S
GIRS;A,B,D,E,F,G,H,L,N,O,P,R,T,Y
GIRT;A,E,F,H,O,P,S
GIRY;D,L,M,P,S
GIRZ;E
GISS;H,M,N,T,W
GIST;A,E,F,H,L,N,R,S,U,W
GISV;A,E
GISW;H,N,S,T
GISZ;N
GITW;H,S
GIZZ;
GJNO;I,S
GJOS;A,I,N,U
GJSU;O
GKNO;L,S
GKNU;S,Y
GKOO;S,Y
GKOR;S
GKOS;A,N,O,R,S,U,W
GKOU;S
GKOW;S
GKSU;A,C,N,O,S
GLLU;S,Y
GLMO;A,E,O,S,U
GLMU;A,E,O,S
GLNO;A,E,F,I,K,O,P,S,U
GLNU;C,E,F,I,O,S
GLOO;A,C,D,I,L,M,N,P,S,Y
GLOP;A,E,N,O,S
GLOS;A,B,C,D,E,F,M,N,O,P,S,T,V,W
GLOV;A,E,S,U
GLOW;A,R,S
GLOY;B,D,E,G,L,O,R
GLPU;H,I,S,Y
GLRR;R,S
GLRU;A,E,I,S,Y
GLSU;A,E,F,G,I,L,M,N,P,R,S,T
GLTU;A,E,I,O,S
GLUY;B,E,F,L,P,R
GMNO;A,E,O,S,U
GMNU;A,E,O,S,U
GMOR;A,E,O,S,Y
GMOS;A,I,L,N,R,S
GMPU;I,R,S
GMPY;I,S,Y
GMRU;A,E,P
GMSU;A,E,G,L,N,P,S
GMSY;P
GNNO;A,E,S
GNOO;B,C,F,L,M,P,S,Y,Z
GNOP;A,E,I,L,O,R,S,Y
GNOR;A,E,I,P,W,Y
GNOS;A,B,D,E,G,H,J,K,L,M,N,O,P,S,T,W,Y
GNOT;A,H,I,S,U
GNOW;A,I,R,S
GNOY;A,I,O,P,R,S,U,Z
GNPU;A,E,S
GNRU;B,D,I,S,T,W
GNSU;A,B,D,E,F,I,K,L,M,P,R,S,T,W
GNTU;A,E,O,R,S
GNYY;N
GOOP;L,N,S,Y
GOOR;B,D,F,M,S,Y
GOOS;B,C,D,E,F,G,K,L,N,P,R,Y
GOPR;A,E,I,N,S,U,Y
GOPU;R
GOPY;D,E,N,O,P,R,S
GORS;A,B,C,E,F,G,I,K,M,O,P,S,T,W,Y,Z
GORT;A,E,I,S,U
GORW;L,N,S
GORY;A,D,L,M,N,O,P,S,U,V
GOSS;A,C,E,H,K,L,M,N,R,U
GOST;A,E,H,L,N,R,U,Y
GOSU;B,C,H,J,K,S,T
GOSV;E,L
GOSW;D,F,K,L,N,R
GOSY;A,B,G,H,I,N,O,P,R,T
GOTU;E,H,L,N,O,R,S,Y
GPSU;A,E,L,M,N,R,S
GPSY;A,I,M,O,Y
GRSU;A,B,D,E,F,H,L,N,P,T,U,Y
GRTU;A,N,O,S
GRUU;A,S
GSSU;A,C,E,H,K,L,M,N,O,P,T,Y
GSTU;E,H,I,L,N,O,R,S,Y
GSTY;A,E,O,U
GSUV;A,G,H
GSUY;A,E,H,R,S,T
HHHS;
HHIS;C,G,P,S,W
HHNU;C
HHOP;
HHOS;G,O
HHSU;S,U,Y
HHUU;S
HIIL;C,N
HIIM;S
HIIO;K,S
HIKO;C,I,S
HIKS;A,C,E,N,O,R,T,W
HIKT;A,C,E,G,L,N,S
HILL;C,O,S,T,Y
HILT;A,C,E,F,G,K,L,O,R,S,T
HIMS;A,C,E,I,S,T,W,Y
HIMW;S
HINS;A,C,D,E,G,K,S,T,W,Y
HINT;A,C,E,G,K,N,S
HINW;C,E,S,Y
HIOR;C,N,S,U
HIOS;A,E,G,I,J,K,R,S,T,W
HIOT;D,L,P,S
HIOW;S
HIPS;A,C,H,S,T,W
HIPT;C,G,O,R,S,W,Y
HIPW;S,T
HIPZ;Z
HIRS;A,E,G,I,K,O,R,S,T,U,W
HIRT;A,B,C,D,E,F,G,L,M,P,S,Y
HIRW;L,R,S
HISS;E,G,H,L,M,N,O,P,R,T,U,V,W,Y
HIST;A,C,E,F,G,K,L,M,N,O,P,R,S,W,X
HISU;A,C,L,R,S
