AAABC;CR,HT,IR,MR,OR,TW
EINRW;BO
EINRX;AF,AL,DT
EINSS;BY,CC,CU,FU,MU,NU,NY,QU
EINST;JK,KM
EINSV;CH,HU
EINSW;AF,AK,AL,AM,AN,AP,IN,KL,KM,LN,PP
EINSX;BO,CD,OT
EINSZ;FZ,GL,GR,GT,GZ,QU
EINTT;AC,CX,FG,GG,GH,GJ,GV,GW,GX,JW,TW
EINTU;HW,IV,IZ,KZ,NW,OP
EINTW;AV,EE,EN,IK,IN,JT,NU,TT
EINVW;AE,AG,AT,DE,GI
EINVX;DE,LY
EINVY;AL,AT,CV,LS,LX
EINWY;EK
EINWZ;BE,DE,ER,GI
EIOOR;PP,PV
EIOPS;EX,OW,ZZ
EIOPY;BL,BT
EIOPZ;CI,ET,LP,NO,RZ,SZ
EIORR;DM,FL,IL,IV,LM,VV
EIORS;
EIORU;DF,DM,DN,GH,GV,HS,MS,NN,NS,SS
EIORV;BU,FT,HT,IR,MP,MT,MX,OP,PT,RU,RV,TT,TU
EIORW;BM,BN,KN,MP,OZ
EIOST;AK,AT,ET,JK,TT
EIOSW;CP,DD,DH,DM,DO,LL,LO,OP
EIOSX;BN,BT,CT,EP,NT,PT
EIOTW;BH,DU,LU,PU
EIOTZ;AM,AZ,DR,EG,EL,EP,ER,GN,GR,IR,LO,NO,NR,OR,RU,RW
EIOWY;
EIOWZ;OR,RT
EIOZZ;AT,NO,PR
EIPPR;AP,BO,EP,MO,OO,OP
EIPPS;AA,AG,AH,AP,AY,BU,GI,GU,GY,HI,IY,PU,UY
EIPPT;HW
EIPQU;OR,PR
EIPRR;EE,EF,EK,EL,EN,ER,EV,EW,EX,IT,IV,KN,NT,TY
EIPRS;
EIPRT;EH,RU
EIPRV;AD,AL,AM,DO,GN,IR,MO,NO,OO,RU,UW
EIPRW;AK,AT,EE,ER,EV,GI,HM,HP,IM,IZ,MO,UV
EIPRZ;EM,EN,EZ,IW,OZ
EIPSS;GI,GY
EIPST;EE,EM,JM,KM,MY
EIPSW;CO,EE,EK,GN,NO,NP,OO
EIPSX;EO,ER,MO,OR,OT,RT
EIPSY;AL,AM,AP,DG,DR,GL,GM,GN,GP,GS,HH,IP,LM,LU,MT,MU,NN,PR,PU,RT,TT
EIPSZ;AC,LS,LZ,OZ,ST
EIPTT;HI,IT,LY
EIPTU;CR,NR,RR
EIPTW;HP,OU
EIPTY;AN,AX,DL,IM,LM,LN,LT,MS,NT,OS,ST
EIPXY;AT
EIQRU;AF,AK,EL,EM,EP,ER,LU,OP,PP,ZZ
EIQTU;AC,AL,LL,MZ,OX
EIRRS;LU,ZZ
EIRRT;BH,BU,CH,CK,CU,CX,FF,FG,FI,FL,FU,FY,GG,GH,HV,IP,IZ,LL,NP,NU,PP,PU,PY
EIRRV;CU,HT,IO,IP,OU,OV,PU
EIRRW;DH,GN,HL
EIRRY;AT,FL,FT,LM,PT
EIRSS;
EIRST;
EIRSU;AK,AM,AZ,EL,EZ,HH,HK,HL,HM,HO,HR,KL,KM,LM,LO,LR,LV,LW,MM,MO,MR,VV,VW
EIRSV;QU
EIRSW;AE,AG,AI,AK,AM,CK,GG,GM,IZ,MM
EIRSX;AA,AB,AD,IL,PT
EIRSZ;LZ,RZ
EIRTT;CE,CU,CX,EG,EM,GU,MU,QU
EIRTU;AY,AZ,BB,BK,BR,BT,EG,FR,FT,FX,GT,JT,PR,PT,RT
EIRTV;CO,FO,LO,MO
EIRTW;FI,GG
EIRVV;AL,AN,AR,DI,FL,GN,OR
EIRVW;PU
EIRVZ;DO
EISSS;AB,AC,AR,AT,AZ,BO,BR,CO,OR,RT,TX
EISST;EI,IZ
EISSU;AL,AQ,AV,AX,EL,FN,HK,HL,JV,KL,KN,LL,LN,NN,NO,NQ,NW
EISSV;CO,DP,JU
EISSW;AM,BO,ZZ
EISSX;CE,EL,GN
EISSZ;IM,IN,IT,NO,PT,PU,WZ
EISTU;AT,BB,BF,BM,BT,FM,IV,KM,KY,MM,TT,TW
EISTV;
EISTW;BI,BL,FI,GL,IL,LL
EISTX;BO,CE,CO,DE,DO,EN,EV,FO,GN,IM,MO,MT,NO,OP,PR
EISTY;BO,CK,CO,DK,GH,HO,HW,KS,KU,OP,PR,SU
EISTZ;AG,AH,AL,AM,AN,GL,GN,HN,IS,LM,LY,MM,MY,PS
EISVV;AC,AD,AE,AL,AN,AS,BE,DH,LU,OT
EISVW;
EISWZ;IR
EITTW;BX,GL,GN,JN,NT
EITVX;ES
EIVWY;
EJKOP;AC
EJKOR;OY,UY
EJKOS;CY,IT
EJKOY;OR,RU
EJKRS;AC,AN,EI,ER,IN,NU
EJKRY;IL,OO,OU
EJKSU;IK,IN,NR,NT
EJLLO;
EJLLS;EI,IT
EJLLY;FI,IN
EJLOP;
EJLOS;AC,BS,GG,RW,SY
EJLOU;AZ
EJLPU;
EJLRU;BM,GG
EJMMY;
EJNNY;
EJNOR;AZ,CU,EO,ES,EY,RU,UY
EJNOS;AB,AC,AN,CE,CO,CU,DE,ER,ES,GI,IN,IR
EJNOT;AC,CC,DI,IR
EJNOY;AC,CK,DE,ER,IR,RU
EJOSY;CK,LL,LS
EJPSU;IN,MR
EJPTU;AC,AK
EJRRY;PU
EJRSU;AB,AD,BO,DD,DG,EQ,KN,MP
EJSST;AM,AN,EE,ER,IU,LO,LU,MO,NO,RU,TU
EJSSU;AB,AD,AN,IT,IV,LT,RT,TT
EJSTU;BC,KN,OT,ST
EJSUV;
EJTTY;IR
EKKOP;
EKKOR;AA,CN,DG,IO
EKKRY;
EKLLN;DE,DO,EV,IW,OR
EKLLS;DI,DO,DU,EI,II,IO,IR,IT,MU
EKLLV;DE,EN
EKLLY;AB,CR
EKLMS;AA,AB,AC,EP
EKLNT;CE
EKLOS;AF,FI,IL,OR
EKLOT;AI,BO,EI,HO,IY
EKLOY;AR,CT,EH,IR,IT,KO
EKLPS;CI,CU,FU,HT,II,IT,IU,IY,NU,OT
EKLPY;IR,IS
EKLST;CE,ER,EW,HP,UZ
EKLSW;IN
EKLSY;SS
EKLTT;
EKLTW;ES,IN
EKLTY;CO,HI,IO
EKMOS;AC,AN,AT,CN,EN,HO,NU,OP
EKMPS;AU,DI,EI,EL,ER,IT,IU,OO
EKMPT;IS,NU
EKMPY;
EKMRS;CU,MU,TU
EKNOR;AG,DP,EG,IM,IO,IV,LL,LP,LS,OS
EKNOS;BC,BK,BR,CM,CR,GY,HR,HY,MU,MY,OR,RY,UY
EKNOT;
EKNOW;BN
EKNPS;DU,LU,RU,TU,UY
EKNRS;BO,CO,HO,LO,OO,OT,OW,OY
EKNSS;DU,HU,LT,RU,TU
EKNST;AB,AC,AD,AI,AN,AR,CI,DI,GI,II,IJ,IM,IP,IR,IT
EKNSU;AB,AM,AP,AS,BB,BG,HS,HY,LO,LP,MO,OP,OY,PY
EKNSY;GI,GO,HO,HU,IL,IP,OR,OT,OU,PU
EKNTU;AI,DH,DO,DR,IL,IZ,RY
EKOPR;BO,BU,CO,LN,OT,OV,UY
EKOPS;CC,MO
EKOPT;EU,OR,TU
EKOPU;BR,ET,FL,IL,RY,TT
EKOPY;RU
EKORR;EV
EKORS;EV,LN,LO,NO,NW
EKORT;BI
EKORW;BW,CT,GL,OT
EKORY;AL,CM,CO,JO
EKOSS;AH,AR,DU,HR
EKOST;HI,IJ,IO
EKOSY;BI,CE,CH,CJ,CO,DI,DN,DV,GN,HN,HO,NT,NU
EKPRS;CY,SY
EKPRU;AB,AM,BO,MR,OY
EKPRY;IL,IS,OU,SS
EKPSS;RY
EKPSU;AH,AM,AN,AP,CL,DN,EP,FL,IL,IM,IN,LN,NY,PU
EKPSY;AD,AL,AS,NU,RS
EKPTU;CH,EO,OT
EKPUY;CR,OR
EKRRU;CT,DN
EKRRY;
EKRSS;BU,CU,FU,HO,HU,LU,NU,OT,TU
EKRST;
EKRSY;CP,CU,UV
EKRSZ;AI,AN
EKRTW;AE,CO,DE,NO,OO
EKRTY;AC,CI
EKSST;BU,CU,DU,LN,MU,NU,RU
EKSSW;ER,ET,IT
EKSSY;AH,AP,EK,EL,IM,LS,MO,MU
EKSTY;CI,IU,NO
EKSUY;AQ,CR,DR,HN,IT,MS,NO,NP,RT,RV
EKSYY;AW,ER
EKUYY;OR
ELLMS;AB,AD,AR,AT,AU,KU,NU,OW,PU,RU,TU,UV
ELLNS;AG,AI,AW,CH,DE,EG,EH,EI,ER,ET,EW,GI,HI,IO,IT,OP,OR,OT,OV,OW
ELLNY;FI,GI,IJ
ELLOR;EM,EZ,FU,MO,VY
ELLOS;AB,BU,BW,DK,DU,EM,LZ,MW,NU,NV,NW,OW
ELLPS;DE,DI,EI,ER,ET,II,IR
ELLQU;AI,AY,DE,DI,ER,IT
ELLSS;CU,FY
ELLST;DE,EF,EG,EN,EP,ER,EV
ELLSV;AD,AY,IO,NO,OY
ELLSW;AA,AI,AN,AR,AT,AY,BO,EI,EN,ER,FO,II,IO,IR,IT,IY,MO,NO,OO,OY,PU
ELLSY;BU,ER,FS,GU,IW,PU
ELLTU;OO,OT,OW,OY
ELLTY;BF,EF,HI
ELLWY;BF
ELMMU;CS,DS,EG,GR,IR,RS,RT,ST
ELMNO;BU,CK,CO,EO,FK,GO,LO,LP,OW,PW
ELMNU;AA,AB,AR,AT,BO,OT
ELMOR;BO,BP,EG,EL,EP,EW,FK,GO,LO,LR,PY
ELMOS;EL,LW,MP,ZZ
ELMOT;AA,AC,BB,BO
ELMOU;AC,AG,AK,AR,BN,CL,GI,IL,NT,RT
ELMOY;AM,LW
ELMPU;CT
ELMRS;TY
ELMRU;CK,FF,GM,IM,IR,MT,OT,TU,TY,ZZ
ELMST;BU,HY,LU,MU,RY,UU,UW
ELMSU;HM,LT,MT,TU,TW,ZZ
ELMSW;AB,AD,BI,DI,ER,IP,LO,TU
ELMSY;HT,RT
ELMTY;
ELMUV;IU
ELMUY;PR
ELMXY;DI
ELNOP;AA,AC,DF,DK,EV,KR,MW
ELNOR;FU,FW,FY,HK,KP,PU,PY
ELNOS;
ELNOT;CE,CH,CU,EG,EU,LN,UZ,VY
ELNOU;AR,BM,BN,ET,FN,FR,IT,MT
ELNOV;AA,AF,AR,AT,GO,II,IO,IT,IV
ELNOW;AB,BC,BI,FR,IT,MP,TT
ELNOY;AB,AD,AT,BZ,CC,CD,DN,DT,DW,ES,GS,GU,GX,GZ,RT
ELNOZ;AC,EG,GY,II
ELNSU;BB,BD,KP,ZZ
ELNSY;BB,BZ,CH,EH,EO,EP,ET,FU,GO,HP,MO,OO,OP,OV,PT,RT
ELNTU;MO,OZ
ELNWY;AA,DO,DU
ELOOS;FT,GG,TT,TU
ELOOY;KK
ELOPR;BI,BM,CI,CU,FI,II,IM,IN,KN,NU
ELOPS;CM,FF,HM,HX,KT,MM,TT,TZ
ELOPU;FH,FK,IK,RR
ELOPY;BI
ELORS;
ELORU;AA,AE,AM,AN,AU,NP,PR
ELORV;AL,AM,AN,AX,DE,EV
ELORW;EM
ELOSS;AI,AM,AZ,FI,IM,ZZ
ELOST;OP,PP,PZ
ELOSU;AG
ELOSV;BE
ELOSW;FL,GG,IL,LM,LY,YY,ZZ
ELOSX;AP,HP,PR
ELOSY;BE,EN,WY
ELOTT;AC
ELOTV;AB,AG,AN,AV,AY,CE,NY
ELOTW;AB,FU,IN,IU,LU,NT
ELOTX;AA,CE,HY,IP
ELOTZ;DP,EI,IO,IS,PS
ELOUV;BL
ELOUZ;AJ
ELOVV;IN
ELOVW;LY
ELOVX;AR
ELOVY;AT
ELPRS;
ELPRU;EQ,EX,KN,NO,OT,TU,ZZ
ELPRY;
ELPST;HK,KO,OO,OP,OR,OT,OY
ELPSU;FK,FN,GG,GH,GN,KN,QU
ELPSW;AD,AR,LU,OR
ELPSY;AD,AH,AI,AK,AT,GI,HN,HP,IK,IM,NT
ELPTU;CM,MM,RU
ELPUZ;
ELRRU;AD,AG,AL,AQ,DE,EG,TT
ELRSU;DD,DE,EI,EL,EX,IW,LL,WZ
ELRSY;DI,EH,EL,GI,GY,IM,IV
ELRTU;AM,AV,MM,MU,MY,PU,UV
ELRTY;CE,CU,EG
ELRUV;GI,IT,TU
ELRUX;EP,ES
ELSST;HT,KN
ELSSU;CI,CK,CL,EI,EQ,EV,IK,IL
ELSSW;
ELSSY;CR,EE,EK,FL,IM,KS
ELSTU;MM,MU,MW
ELSTW;BI,DI,GI,HI,II,IL,IN,MU,RY
ELSTY;NP
ELSUX;IN
ELSUY;AV,EF,ET,FN
ELSWY;AB,AD,AE,AH,AL,AR,AS,BD,ET,LO,OO,OR,OY,RT,RU
ELTUX;DE,EI
ELTWY;AB,AH,AR,HI,RS
ELYZZ;
EMMOS;AB,BN,BO,EN,EV,LP,NN,YZ
EMMRY;IU,MU
EMMSY;OZ
EMNNO;AE,AG,AR,AT,AU,AZ,BD,EH,EI,EV,GI,GT,GW,HO,IR,IT,OR,WW
EMNNS;AD,AL,AR,AW,EH,EL,EW,GI,II,IK
EMNNU;AD,AO,AT,DI,JK
EMNOR;BW,BY,KW,KY,MY,PP,RU
EMNOS;BM,BU,BW,EH,EK,EM,EO,HP,HW,KU,OW,PU
EMNOT;CI,CN,DD,DU,GI,GN,IN,IO
EMNOV;AR,DU,GI
EMNOW;AD,DO,GI,GN,HS,IS,KR,LO,LP,NS,NW,OS
EMNOY;BD,BR,CO,DM,DR,MR
EMNPT;AA,AE,AS,AU,AY,BE,BY,EU,HY,KU
EMNRU;DO,EH,EP,JY
EMNSU;CO,CT,DO,DT,IM,IQ,IT,IX,KO,OT
EMNTU;BS,KP,LO,OS
EMNTY;AP,AS,AW,BP,HP
EMNUW;DE
EMNYZ;CI,GO
EMOOR;AG,AW,CE,CH,FZ,GL,LL,PY
EMOOS;AT,BI,BM,EN,EW,HK,HT,HW,HX,HZ,IN,KP,NT,NW,NY,TT,TW,TY,XY
EMOOV;CM,IL,TU
EMOPR;AL,AM,AN,BL,BO,EL,EN,EV,EW,HW
EMOPS;AC,AN,AZ,CL,CO,CU,HL,HN,KO,LM,LO,LU,NU,SU
EMOPT;AH
EMOPY;
EMORR;BM,GI,IL,LL,NU,RU
EMORS;
EMORT;
EMORV;AL,AN,AR,DO,IP,IT,IX
EMORW;CI,EL,EP,HP,IP,KN
EMOSS;AC,AL,AT,AV,ET,JT,LT,MT,TT
EMOST;OW,VZ
EMOSU;AZ,BN,KN,NP,NT
EMOSV;LU,TZ
EMOSW;EO,HN,HO,HY,IN,LL,NN,NO,OT
EMOSY;AD,AG,AW,DE,EE,IZ,MZ,OX
EMOSZ;AP,AU,BI,HO,IT,IY,MR,MY,SY,TV
EMOTT;AN,AZ,CI,EF,EZ,FU,IR,IU,NR
EMOTY;AA,BU,HR,HX,MO
EMOZZ;TU
EMPRS;BU,DU,HU,JU,LU,MU,PU
EMPRT;CU,DU,HU,TU
EMPRY;AC,AL,AP,FU,IL,LU
EMPST;AC,AD,AE,AI,AL,AN,EH,EI,EL,EX,II,IJ,IK,IL,IN,IS,IY
EMPSU;BR,CO,HR,JR,MR,OR,PR
EMPSY;AC,AI,GI,IL,IT,IU
EMPTT;AR,AT,AU,DE,EL,ER,RU
EMPTY;AH,AN,BN,HN,II,IL,IS
EMRRU;BC,BL,CP,HT,IL,IP,OR
EMRRY;AF,AR,CE,IL,OW
EMRST;LY,YY
EMRSU;CI,CK,IK,IP,JP,PP
EMRTU;BE,BL,DP,EP,FY,HP,HR,HV,LM,LU,LY
EMRUX;BO,EH,ES,IT
EMSST;JO,MO,NO,OR,OT
EMSSU;CU,GK,MU
EMSSW;AI,AU
EMSSY;IK,IL
EMSTU;CH,CN,CO,GN,HI,IM,IN,IO,IQ,LL,LM,LU,LW,NO
EMSTY;CE,LR,RY
EMSUX;AC,EH,ER,IN
EMSYZ;IO,IT,MO,OS
ENNOR;AB,AM,AY,BZ,DD,DE,HP
ENNOS;EH,EZ,II,IJ,IK,IN,IO,IP,IR,IV,IY,NP,NW,OR,RW
ENNOT;AE,AG,AM,AU,ET,EY,FU,GM,LL,OT
ENNOX;AC
ENNPU;AL,GI,IL
ENNPY;HO,IS
ENNRU;EV,NY
ENNTY;AC,AR,EO,OS,SY,TU
ENNWY;AD,AH,IS
ENOOR;DE,DF,EJ,FW,IK,IL
ENOOS;BG,BI,BT,EM,FT,GH,GI,GM,GN,GP,GT,GY,IK,IM,IN,IT,MT,MW,MY,PY,TT,TU
ENOOZ;AT,CE,GY,IP,IT,IZ,NR
ENOPR;AF,AM,AP,AT,KL,MP,MT,TT
ENOPS;DD,DO,DU,MU,NN,PU,UX
ENOPT;CC,CU,CY,DR,DY,RY
ENOPY;DT,ET
ENORS;EJ
ENORT;EF,EV,FW,PY
ENORU;AL,AM,FL,FR,GH,GL,GM,GY,JR,JY,KY,MR
ENORV;AL,AM,AR,AT,CH,CT,EM,ER,ET,EW
ENORW;AB,AG,AZ,BI,BM,BY,CC,CT,FL,FO,FT,IT,TU
ENORY;AM,AN,AX,BM,BW,CI,FL,IJ,JU,LT,MM,TU
ENORZ;AJ,AW,GI,II,IT,NO
ENOSS;
ENOST;EU,EV,EW,GO,GU,OU,UU
ENOSU;AE,AP,AT,BM,BT,BX,BZ,ET,FG,GI,GM,GT,KM,KP,KY,MP,MT,OT,PP,PX,TT,TU
ENOSV;AN,AP,AT,GR
ENOSW;ET,GP,HM,MN,MO,NN,NT,PY
ENOSX;BI,BU,EG,EH,IR,PU
ENOSY;AB,AG,AN,BG,BW,EL,GI,GK,GL,GO,IN,KU,LO
ENOSZ;AA,EN,EV,NT
ENOTY;AL,CP,DL,DP,EK,EN,EP,HU,LR,LV,OX,PR,RU
ENOVW;ER
ENOVY;
ENOWX;
ENPRS;HY,WY
ENPRT;CY,DO,MO,OT,OY
ENPRU;AC,AV,CH,EM
ENPST;CE,CH,EE,EW,EY,YY
ENPSY;AS,AT,EL,ER,ET,GI,HH,HL,HR,IK,IN,KU,LT,RW,TY
ENQRU;CO
ENQUY;IR
ENRRU;CH,DE,DK,DO,EV,FO,GG,JO,OV
ENRST;
ENRSU;BB,BG,CW,FF,GG,ZZ
ENRSW;CU,NU,PY,SY,VY
ENRSY;GY,PW,VW
ENRTU;CY,KY
ENRTY;EP,ER,HW,KU,LO,OP,OU,RU,TU
ENRTZ;HI,IO
ENRVY;AK
ENSST;KL,LP
ENSSY;BI,CT,DH,DI,DT,GI,HS,IN,IS,IT,IW
ENSTT;AB,AC,AD,AF,AG,AL,AN,AP,AR,AT,AU,AX,DU,KU,LU,NU,PU,RU
ENSTU;CH,CM,CO,MO,OO,OT,OU
ENSTV;AA,AD,AL,AO,AR,CO,LO
ENSTW;AA,AN,AP,AY,NO,OS,PU
ENSTX;DE,EE,EI,ER,ET,GI
ENSTY;LP,NY,PY
ENSUV;GY,HI,IL,IW
ENSUW;AH,AL,AR,CL,CR,EJ,ET,PT
ENSUX;AT,BO,DE,ES,GP,OP
ENSVY;GU,IL,RW
ENSWY;BO,OP,PR,RS,RV
ENTTY;NU,RU
ENTUW;AR,ES,HI,IN,IR,OR,OT
EOOPV;IR,KR,PR,RT,RY
EOORS;FG,FH,GV,GY,HK,HV
EOORW;AM,CT,DD,DI,DT,HP,IZ,KT,PT,RV,TU
EOOSS;CH,HH,JY,PP,SU
EOOST;AB,AM,BE,BN,CL,CY,ET,FL,FN,LT,LU,MN,MT,MW,MY,NT,NU
EOOSW;DH,DI,DN,DP,EM,HM,IP,MN,MT,TZ
EOOSY;BB,MN,MT,MX,NP
EOOSZ;DI,DR,HM
EOOYZ;GN,PR,PT
EOPPR;EN,IK,IN
EOPPS;MY
EOPPT;EE,EN,ET,EU
EOPPU;CR,ET,MT,OR
EOPRR;FF
EOPRS;
EOPRT;EG
EOPRV;AP,AT,AY,CU,EM,IM,IO,IT,KO,OP,OT,OY,TY
EOPRW;AF,AY,EM,HM,HO,HP,IM
EOPRY;AV,AW,HU,KU,OV,OZ
EOPSS;GN,OP,OW
EOPST;LT,LU,LZ,TU,TW,UV
EOPSX;AL,DO,HL,IM,IR,LR,NU
EOPSY;
EOPTT;EP,SW
EOPTY;BI,DN,DT
EOPXY;DE,HN
EOQRU;AB,AP,AV,CN,IP
EOQTU;BU,IX,NU
EORRR;DE,MU
EORRS;ZZ
EORRT;AA,AB,AG,AL,FF,FY,LL
EORRV;AM,AN,CE,EH,EK,EM,EN,GI,GO,II,IU,IV,NU,OW
EORRW;BY,HT,OV
EORSS;
EORST;
EORSU;EV,VY
EORSV;AU,AY,NU,NY,UY
EORSW;AF,FF,FG
EORSX;AC,AH,AM,DE,DH,EF,EP,ES,EX,FL,LP
EORSY;AB,AV,BE,BM,BW,DV,EE,MU,UV
EORSZ;AB,AR,BO,BU,MM,RZ
EORTT;
EORTU;AG,AW,GO,GW,OW
EORTV;AF,AN,AP,FI,IM,IP,IT,OP,PY
EORTW;AU,CC,CE,CK,CN,CO,ER,EV,GU,KN,KO,NU,OU
EORTX;
EORTY;BO,CR,FR,GG,NU,QU,TT,TU
EORTZ;AL,DE,DI,EI,GI,II,IN,IO,IU,IW
EORVW;OR
EORXX;DE,ES
EOSST;AF,AG,AM,FF,FT,GY,JM,MM,MT
EOSSU;AG,YZ
EOSSW;
EOSTT;AI,AP,EI,EO,GI,GJ,IO,IP,IT,IW,OS,PW,TW
EOSTU;AC,AH,AN,CH,CM,CN,MN,NN,NO,NU,PV
EOSTV;MZ,PU
EOSTW;EN,FW,MO,NN,PT,TT
EOSTX;AG,BI,CI,DE,DI,DU,FI,IM
EOSTY;BI,EH,HI
EOSTZ;GY,LP,LY,MV,NN
EOSUY;BQ,KN,LR,RV,SZ
EOSWY;AM,HM,HR,LL,LO,LR,LY,NP
EOTUZ;AG,IR,MZ
EOTWZ;IR
EPPPY;IL
EPPRS;EE,EP,ET,EX,GY
EPPRU;OO,RT,RU
EPRRU;BT,CM,CP,JY,KM,PT,PU,TU
EPRRY;IT,JU
EPRSS;
EPRST;CY,GY
EPRSU;FF,JM,MM,VY
EPRSV;LU,UY
EPRSW;NY
EPRSY;BU,EN,ET,EX,IK,IP,IT,NW,TU,UV
EPRTU;BR,BY,DM,FY,HM,HW,IM,IR,PR
EPRTW;AB,AI,AN,AR,HU
EPRVY;AO,EL,ER,LO,OO,OT
EPRXY;AT,ES
EPSST;
EPSSU;
EPSSW;AH,OO
EPSSY;GI
EPSTT;DO,LO,NO,NU,OR,OU,OW,RU
EPSTU;BO,BY,EO,ET,FY,OT,OV
EPSTW;AA,AN,NU,OT,PU
EPSTY;AH,AL,AN,AR,BU,CR,FU,GR,IM,IR,IT,LN,NY,RS,RU
EPSUY;AR,BR,BT,CE,EP,FT,IM,IP,KN,RR,RT,RV
EPSWY;AD,AR,NO,NR
EPSXY;ER
EPTTY;DO,ES,IL,IN,IS
EPTYY;NS
EQRUY;AV,EL,ER,IN,IV,OT
EQSTU;CH
EQSUU;AO,BR,IN,LP
EQSUY;BO,EZ
EQTUU;BO,IN,NO
EQTUY;OR
ERRSS;CU,CY,FU,GU,HU,KY,NU,PU,TU,UU,UY
ERRSU;BB,BD,BE,BI,BR,DD,DI,EV
ERRSY;AB,AN,AW,EV
ERRTU;AM,AP,AQ,DG,IP,PP,PU
ERRTY;CO,EF,EN,ET,FI,FO,IP,NU
ERRVY;AB,AC,DO
ERRWY;BE,BO,MO
ERSST;
ERSSU;RY
ERSTT;CH,HW
ERSTU;FF,HW
ERSTV;
ERSTW;
ERSTY;CP,GP,IM,IP,MY
ERSUU;BL,BO,BQ,EQ,GL,HM
ERSUV;DO,GO,IQ,IV,IW,MO,NO,OP
ERSUX;AE,AP,EL,EM,ES,FI,OT,TT
ERSVY;AG,AJ,AL,AO,DO,FI,HI,IL,NO,NW
ERTTU;IJ,IQ,IV
ERTUV;AL,AN,AT,HM,LU
ERTUY;AC,AI,CL,CN,FM,FP,GH,GT,HO,LM,LO,LT,NO,NR,NT,OP,OQ,OT
ERTWY;HN,IN
ESSSU;AG,AQ,AR,EG,ER,RU
ESSTT;BO,FO,HL,HO,MO,OO
ESSTU;DK
ESSTV;DE,EE,EN
ESSTW;
ESSTX;AE,AL,AN,CE,ER,ET,RY
ESSTY;CN,DN,GO,IN,IU
ESSTZ;AN,ER,ET,II,IP,OO,OR
ESSUW;AM,BD,IR,PR
ESSWY;AA,AL,AN,AR,BO,IN,NR
ESTTX;AI,AN,BU,IM,OR,RU
ESTTY;AC,EN,EP
ESTUX;AH,AN,BT,DO,OR,RT
ESTUY;AS,BP,EH,EL,FP,IK,IS
ESTWY;HI,IN
ESTYY;LS,MR,NN,NP
ESTYZ;GO,IL,IM,LO
FFFLU;DE,ER
FFFSU;
FFFUY;
FFGIL;NU
FFGIR;IN,NO,NU
FFGOS;ER,IN,LO
FFGRU;AE,DE,ER,IN
FFGSU;AW,EI
FFHIT;EW,LY
FFHIW;DE,EL,ER,ET
FFHOU;DE
FFHOW;DE
FFHSU;EL,ER,HI,IL,IM
FFHUY;IL
FFIIS;BE,BN,EJ,ET,HN,HY,NT,UZ
FFIJS;EI
FFIJY;
FFIKS;AR,DE
FFIMS;AA,AR,AT,EO,HU,NU
FFIMY;IL
FFINS;AA,AC,AE,BI,BO,CO,CU,DE,EG,EL,ER,ET,GO,HI,IT,MU,NU,OP,PU,RU
FFINY;AC,AG,AT,BO
FFIPS;AE,DE,NO,NU,OR,OT
FFIQU;DE
FFIRS;AA,AH,AK,AM,AT,AU,AZ,NU,OP
FFIRT;CI,DI,EO,ER,ES,LY,OY,UY
FFIST;AA,AD,AE,AM,AR,DE,EI,EN,ER,IN,LU
FFISV;
FFISZ;AR,IU
FFITY;AN,HL,LR,OR,RU
FFKOS;DE
FFLPU;DE
FFLSU;CE,DE,EH,EM,EN,EO,ER,HI,IL,IT,NY
FFMSU;CO,EL,HI,IN
FFNSU;CI,CU,DE,EL,ER,ET,IM,IN,IP,IR,OR
FFOPU;JM
FFOST;AC,CU,DU,HU,LY,OP,PU
FFOSW;DE,ER
FFOTY;IR
FFPSU;BE,ER,IN
FFPUY;ER
FFRSU;AI,BO,IN,NO,RU
FFSTU;CO,DO,HO,IL,OP
FGGIY;ER,LO,LU
FGGOY;AT,IL
FGGUY;IL
FGHIT;AN,EN,IN
FGILN;AB,AK,AL,AM,AN,AO,AR,AT,AW,DO,GO,OO,OP,OR,OT,OW
FGILT;AN,EE,EN,IN,NO,NU,NY
FGINO;AL,AM,AT,BB,CI,DL,DN,DU,GG,GL,GO,GW,HO,HU,HW,IL,IN,LO,LP,LT,LU,LW,LY,NN,NY,OT,OW,PP,PU
FGINU;AT,BB,BF,DF,DG,DN,DO,FF,FH,FP,FR,GG,GU,HO,KN,NN,OP,RR,RT,TT
FGIOS;DH,HH,HY,MY,RT
FGIOU;DN,HN,LN,NP
FGIRS;AH,AN,IN,NO,NU,NY
FGIRT;AN,AY,IN,NU
FGIST;AN,BE,DE,EE,IN,NO,NU,UU
FGLNO;DI,GI,II,IO,IP,IR,IT,IU,IW,IY,RU
FGLNU;LU,OR,OS,PU
FGLOS;FO,RU
FGLSU;AB,AH,AN,HI,IN,JU,MU,NO,OR,TU
FGLUY;AL,FR,OO,OT
FGNOO;ER,GI,HI,HR,IL,IR,IT,IW,RU
FGNOU;DE,DI,HI,IL,IP,LR,OR
FGNSU;AL,EL
FGOOR;HN,IN,NU
FGOOS;BW,DG,FL
FGOOU;LY,NR
FGOOY;DM,IL,LU
FGORS;AM,AR,IN,IT,NY
FGORU;ER,ET,HY,NO
FGOSW;BO,ER,IN
FGRSU;IN
FGSUU;IT,JL,LM,LT
FHILT;AW,PU
FHIQS;
FHIRT;AE,EE,UY
FHIST;OO
FHISY;AM,AW,EE,ER,FI,GO,IL
FHITW;AL,CE,EF
FHLOS;AO,ES,IK,IO,IW,OY
